"date","from","to","action_team","notes","edge_label"
"2017-02-23","Cameron Payne","Doug McDermott","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Cameron Payne, and in exhchange give Doug McDermott to them."
"2017-02-23","Cameron Payne","2018 pick (#36-Mitchell Robinson)","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Cameron Payne, and in exhchange give 2018 pick (#36-Mitchell Robinson) to them."
"2017-02-23","Joffrey Lauvergne","Taj Gibson","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Joffrey Lauvergne, and in exhchange give Taj Gibson to them."
"2017-02-23","Joffrey Lauvergne","Doug McDermott","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Joffrey Lauvergne, and in exhchange give Doug McDermott to them."
"2017-02-23","Joffrey Lauvergne","2018 pick (#36-Mitchell Robinson)","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Joffrey Lauvergne, and in exhchange give 2018 pick (#36-Mitchell Robinson) to them."
"2017-02-23","Anthony Morrow","Taj Gibson","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Anthony Morrow, and in exhchange give Taj Gibson to them."
"2017-02-23","Anthony Morrow","Doug McDermott","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Anthony Morrow, and in exhchange give Doug McDermott to them."
"2017-02-23","Anthony Morrow","2018 pick (#36-Mitchell Robinson)","Bulls","trade with Thunder","On 2017-02-23, Bulls make trade with Thunder for Anthony Morrow, and in exhchange give 2018 pick (#36-Mitchell Robinson) to them."
"2017-02-23","Corey Brewer","Louis Williams / Lou Williams","Lakers","trade with Rockets","On 2017-02-23, Lakers make trade with Rockets for Corey Brewer, and in exhchange give Louis Williams / Lou Williams to them."
"2017-02-23","2017 pick (#28-Tony Bradley)","Louis Williams / Lou Williams","Lakers","trade with Rockets","On 2017-02-23, Lakers make trade with Rockets for 2017 pick (#28-Tony Bradley), and in exhchange give Louis Williams / Lou Williams to them."
"2017-02-23","Tyler Ennis","Marcelinho Huertas / Marcelo Huertas","Lakers","trade with Rockets","On 2017-02-23, Lakers make trade with Rockets for Tyler Ennis, and in exhchange give Marcelinho Huertas / Marcelo Huertas to them."
"2017-02-23","rights to Brad Newley","Marcelinho Huertas / Marcelo Huertas","Lakers","trade with Rockets","On 2017-02-23, Lakers make trade with Rockets for rights to Brad Newley, and in exhchange give Marcelinho Huertas / Marcelo Huertas to them."
"2017-02-23","K.J. McDaniels","cash","Nets","trade with Rockets","On 2017-02-23, Nets make trade with Rockets for K.J. McDaniels, and in exhchange give cash to them."
"2017-02-23","P.J. Tucker","Jared Sullinger","Raptors","trade with Suns","On 2017-02-23, Raptors make trade with Suns for P.J. Tucker, and in exhchange give Jared Sullinger to them."
"2017-02-23","P.J. Tucker","2017 pick (#54-Alec Peters)","Raptors","trade with Suns","On 2017-02-23, Raptors make trade with Suns for P.J. Tucker, and in exhchange give 2017 pick (#54-Alec Peters) to them."
"2017-02-23","P.J. Tucker","2018 pick (#59-George King)","Raptors","trade with Suns","On 2017-02-23, Raptors make trade with Suns for P.J. Tucker, and in exhchange give 2018 pick (#59-George King) to them."
"2017-06-19","2017 pick (#1-Markelle Fultz)","2017 pick (#3-Jayson Tatum)","76ers","trade with Celtics","On 2017-06-19, 76ers make trade with Celtics for 2017 pick (#1-Markelle Fultz), and in exhchange give 2017 pick (#3-Jayson Tatum) to them."
"2017-06-20","Marco Belinelli","Dwight Howard","Hawks","trade with Hornets","On 2017-06-20, Hawks make trade with Hornets for Marco Belinelli, and in exhchange give Dwight Howard to them."
"2017-06-20","Marco Belinelli","2017 pick (#31-Frank Jackson)","Hawks","trade with Hornets","On 2017-06-20, Hawks make trade with Hornets for Marco Belinelli, and in exhchange give 2017 pick (#31-Frank Jackson) to them."
"2017-06-20","Miles Plumlee","Dwight Howard","Hawks","trade with Hornets","On 2017-06-20, Hawks make trade with Hornets for Miles Plumlee, and in exhchange give Dwight Howard to them."
"2017-06-20","Miles Plumlee","2017 pick (#31-Frank Jackson)","Hawks","trade with Hornets","On 2017-06-20, Hawks make trade with Hornets for Miles Plumlee, and in exhchange give 2017 pick (#31-Frank Jackson) to them."
"2017-06-20","2017 pick (#41-Tyler Dorsey)","Dwight Howard","Hawks","trade with Hornets","On 2017-06-20, Hawks make trade with Hornets for 2017 pick (#41-Tyler Dorsey), and in exhchange give Dwight Howard to them."
"2017-06-20","2017 pick (#41-Tyler Dorsey)","2017 pick (#31-Frank Jackson)","Hawks","trade with Hornets","On 2017-06-20, Hawks make trade with Hornets for 2017 pick (#41-Tyler Dorsey), and in exhchange give 2017 pick (#31-Frank Jackson) to them."
"2017-06-21","2017 pick (#52-Edmond Sumner)","Tim Frazier","Pelicans","trade with Wizards","On 2017-06-21, Pelicans make trade with Wizards for 2017 pick (#52-Edmond Sumner), and in exhchange give Tim Frazier to them."
"2017-06-22","rights to Zach Collins","rights to Justin Jackson","Blazers","trade with Kings","On 2017-06-22, Blazers make trade with Kings for rights to Zach Collins, and in exhchange give rights to Justin Jackson to them."
"2017-06-22","rights to Zach Collins","rights to Harry Giles","Blazers","trade with Kings","On 2017-06-22, Blazers make trade with Kings for rights to Zach Collins, and in exhchange give rights to Harry Giles to them."
"2017-06-22","cash","rights to Sindarius Thornwell","Bucks","trade with Clippers","On 2017-06-22, Bucks make trade with Clippers for cash, and in exhchange give rights to Sindarius Thornwell to them."
"2017-06-22","cash","rights to Jordan Bell","Bulls","trade with Warriors","On 2017-06-22, Bulls make trade with Warriors for cash, and in exhchange give rights to Jordan Bell to them."
"2017-06-22","Zach LaVine","Jimmy Butler","Bulls","trade with Timberwolves","On 2017-06-22, Bulls make trade with Timberwolves for Zach LaVine, and in exhchange give Jimmy Butler to them."
"2017-06-22","Zach LaVine","rights to Justin Patton","Bulls","trade with Timberwolves","On 2017-06-22, Bulls make trade with Timberwolves for Zach LaVine, and in exhchange give rights to Justin Patton to them."
"2017-06-22","Kris Dunn","Jimmy Butler","Bulls","trade with Timberwolves","On 2017-06-22, Bulls make trade with Timberwolves for Kris Dunn, and in exhchange give Jimmy Butler to them."
"2017-06-22","Kris Dunn","rights to Justin Patton","Bulls","trade with Timberwolves","On 2017-06-22, Bulls make trade with Timberwolves for Kris Dunn, and in exhchange give rights to Justin Patton to them."
