"date","from","to","action_team","notes","edge_label"
"2018-02-08","Jordan Clarkson","Isaiah Thomas","Cavaliers","trade with Lakers","On 2018-02-08, Cavaliers make trade with Lakers for Jordan Clarkson, and in exhchange give Isaiah Thomas to them."
"2018-02-08","Jordan Clarkson","Channing Frye","Cavaliers","trade with Lakers","On 2018-02-08, Cavaliers make trade with Lakers for Jordan Clarkson, and in exhchange give Channing Frye to them."
"2018-02-08","Larry Nance Jr.","Isaiah Thomas","Cavaliers","trade with Lakers","On 2018-02-08, Cavaliers make trade with Lakers for Larry Nance Jr., and in exhchange give Isaiah Thomas to them."
"2018-02-08","Larry Nance Jr.","Channing Frye","Cavaliers","trade with Lakers","On 2018-02-08, Cavaliers make trade with Lakers for Larry Nance Jr., and in exhchange give Channing Frye to them."
"2018-02-08","2018 pick (#41-Jarred Vanderbilt)","Elfrid Payton","Magic","trade with Suns","On 2018-02-08, Magic make trade with Suns for 2018 pick (#41-Jarred Vanderbilt), and in exhchange give Elfrid Payton to them."
"2018-02-08","Dante Cunningham","Rashad Vaughn","Nets","trade with Pelicans","On 2018-02-08, Nets make trade with Pelicans for Dante Cunningham, and in exhchange give Rashad Vaughn to them."
"2018-02-08","Willie Reed","Jameer Nelson","Bulls","trade with Pistons","On 2018-02-08, Bulls make trade with Pistons for Willie Reed, and in exhchange give Jameer Nelson to them."
"2018-02-08","George Hill","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for George Hill, and in exhchange give Derrick Rose to them."
"2018-02-08","George Hill","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for George Hill, and in exhchange give Jae Crowder to them."
"2018-02-08","George Hill","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for George Hill, and in exhchange give Iman Shumpert to them."
"2018-02-08","George Hill","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for George Hill, and in exhchange give rights to Dimitrios Agravanis to them."
"2018-02-08","George Hill","cash","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for George Hill, and in exhchange give cash to them."
"2018-02-08","Rodney Hood","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for Rodney Hood, and in exhchange give Derrick Rose to them."
"2018-02-08","Rodney Hood","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for Rodney Hood, and in exhchange give Jae Crowder to them."
"2018-02-08","Rodney Hood","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for Rodney Hood, and in exhchange give Iman Shumpert to them."
"2018-02-08","Rodney Hood","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for Rodney Hood, and in exhchange give rights to Dimitrios Agravanis to them."
"2018-02-08","Rodney Hood","cash","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for Rodney Hood, and in exhchange give cash to them."
"2018-02-08","rights to Arturas Gudaitis","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for rights to Arturas Gudaitis, and in exhchange give Derrick Rose to them."
"2018-02-08","rights to Arturas Gudaitis","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for rights to Arturas Gudaitis, and in exhchange give Jae Crowder to them."
"2018-02-08","rights to Arturas Gudaitis","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for rights to Arturas Gudaitis, and in exhchange give Iman Shumpert to them."
"2018-02-08","rights to Arturas Gudaitis","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for rights to Arturas Gudaitis, and in exhchange give rights to Dimitrios Agravanis to them."
"2018-02-08","rights to Arturas Gudaitis","cash","Cavaliers","3-team trade with Jazz, Kings","On 2018-02-08, Cavaliers make 3-team trade with Jazz, Kings for rights to Arturas Gudaitis, and in exhchange give cash to them."
"2018-02-08","Brice Johnson","James Ennis","Grizzlies","trade with Pistons","On 2018-02-08, Grizzlies make trade with Pistons for Brice Johnson, and in exhchange give James Ennis to them."
"2018-02-08","Okaro White","Luke Babbitt","Hawks","trade with Heat","On 2018-02-08, Hawks make trade with Heat for Okaro White, and in exhchange give Luke Babbitt to them."
"2018-02-08","Derrick Rose","Joe Johnson","Jazz","3-team trade with Cavaliers, Kings","On 2018-02-08, Jazz make 3-team trade with Cavaliers, Kings for Derrick Rose, and in exhchange give Joe Johnson to them."
"2018-02-08","Derrick Rose","cash","Jazz","3-team trade with Cavaliers, Kings","On 2018-02-08, Jazz make 3-team trade with Cavaliers, Kings for Derrick Rose, and in exhchange give cash to them."
"2018-02-08","Jae Crowder","Joe Johnson","Jazz","3-team trade with Cavaliers, Kings","On 2018-02-08, Jazz make 3-team trade with Cavaliers, Kings for Jae Crowder, and in exhchange give Joe Johnson to them."
"2018-02-08","Jae Crowder","cash","Jazz","3-team trade with Cavaliers, Kings","On 2018-02-08, Jazz make 3-team trade with Cavaliers, Kings for Jae Crowder, and in exhchange give cash to them."
"2018-02-08","Bruno Caboclo","Malachi Richardson","Kings","trade with Raptors","On 2018-02-08, Kings make trade with Raptors for Bruno Caboclo, and in exhchange give Malachi Richardson to them."
"2018-02-08","Joe Johnson","George Hill","Kings","3-team trade with Cavaliers, Jazz","On 2018-02-08, Kings make 3-team trade with Cavaliers, Jazz for Joe Johnson, and in exhchange give George Hill to them."
"2018-02-08","Joe Johnson","rights to Arturas Gudaitis","Kings","3-team trade with Cavaliers, Jazz","On 2018-02-08, Kings make 3-team trade with Cavaliers, Jazz for Joe Johnson, and in exhchange give rights to Arturas Gudaitis to them."
"2018-02-08","Emmanuel Mudiay","Doug McDermott","Knicks","3-team trade with Mavericks, Nuggets","On 2018-02-08, Knicks make 3-team trade with Mavericks, Nuggets for Emmanuel Mudiay, and in exhchange give Doug McDermott to them."
"2018-02-08","Emmanuel Mudiay","2018 pick (#43-Justin Jackson)","Knicks","3-team trade with Mavericks, Nuggets","On 2018-02-08, Knicks make 3-team trade with Mavericks, Nuggets for Emmanuel Mudiay, and in exhchange give 2018 pick (#43-Justin Jackson) to them."
"2018-02-08","Doug McDermott","Devin Harris","Mavericks","3-team trade with Knicks, Nuggets","On 2018-02-08, Mavericks make 3-team trade with Knicks, Nuggets for Doug McDermott, and in exhchange give Devin Harris to them."
"2018-02-08","2018 pick (#54-Shake Milton)","Devin Harris","Mavericks","3-team trade with Knicks, Nuggets","On 2018-02-08, Mavericks make 3-team trade with Knicks, Nuggets for 2018 pick (#54-Shake Milton), and in exhchange give Devin Harris to them."
"2018-02-08","Devin Harris","Emmanuel Mudiay","Nuggets","3-team trade with Knicks, Mavericks","On 2018-02-08, Nuggets make 3-team trade with Knicks, Mavericks for Devin Harris, and in exhchange give Emmanuel Mudiay to them."
"2018-02-08","2018 pick (#43-Justin Jackson)","2018 pick (#54-Shake Milton)","Nuggets","3-team trade with Knicks, Mavericks","On 2018-02-08, Nuggets make 3-team trade with Knicks, Mavericks for 2018 pick (#43-Justin Jackson), and in exhchange give 2018 pick (#54-Shake Milton) to them."
"2018-06-21","rights to Shake Milton","rights to Ray Spalding","76ers","trade with Mavericks","On 2018-06-21, 76ers make trade with Mavericks for rights to Shake Milton, and in exhchange give rights to Ray Spalding to them."
"2018-06-21","rights to Shake Milton","rights to Kostas Antetokounmpo","76ers","trade with Mavericks","On 2018-06-21, 76ers make trade with Mavericks for rights to Shake Milton, and in exhchange give rights to Kostas Antetokounmpo to them."
"2018-06-21","rights to Zhaire Smith","rights to Mikal Bridges","76ers","trade with Suns","On 2018-06-21, 76ers make trade with Suns for rights to Zhaire Smith, and in exhchange give rights to Mikal Bridges to them."
"2018-06-21","rights to Gary Trent Jr.","cash","Blazers","trade with Kings","On 2018-06-21, Blazers make trade with Kings for rights to Gary Trent Jr., and in exhchange give cash to them."
"2018-06-21","rights to Shai Gilgeous-Alexander","rights to Miles Bridges","Clippers","trade with Hornets","On 2018-06-21, Clippers make trade with Hornets for rights to Shai Gilgeous-Alexander, and in exhchange give rights to Miles Bridges to them."
"2018-06-21","rights to Trae Young","rights to Luka Doncic","Hawks","trade with Mavericks","On 2018-06-21, Hawks make trade with Mavericks for rights to Trae Young, and in exhchange give rights to Luka Doncic to them."
"2018-06-21","cash","rights to Vincent Edwards / Vince Edwards","Jazz","trade with Rockets","On 2018-06-21, Jazz make trade with Rockets for cash, and in exhchange give rights to Vincent Edwards / Vince Edwards to them."
"2018-06-21","rights to Justin Jackson","rights to Jarred Vanderbilt","Magic","trade with Nuggets","On 2018-06-21, Magic make trade with Nuggets for rights to Justin Jackson, and in exhchange give rights to Jarred Vanderbilt to them."
"2018-06-26","Marcin Gortat","Austin Rivers","Clippers","trade with Wizards","On 2018-06-26, Clippers make trade with Wizards for Marcin Gortat, and in exhchange give Austin Rivers to them."
"2018-07-06","Wilson Chandler","cash","76ers","trade with Nuggets","On 2018-07-06, 76ers make trade with Nuggets for Wilson Chandler, and in exhchange give cash to them."
"2018-07-06","cash","rights to Hamidou Diallo","Hornets","trade with Thunder","On 2018-07-06, Hornets make trade with Thunder for cash, and in exhchange give rights to Hamidou Diallo to them."
"2018-07-06","cash","rights to Isaac Bonga","76ers","trade with Lakers","On 2018-07-06, 76ers make trade with Lakers for cash, and in exhchange give rights to Isaac Bonga to them."
"2018-07-06","Timofey Mozgov","Dwight Howard","Hornets","trade with Nets","On 2018-07-06, Hornets make trade with Nets for Timofey Mozgov, and in exhchange give Dwight Howard to them."
"2018-07-06","rights to Hamidou Diallo","Dwight Howard","Hornets","trade with Nets","On 2018-07-06, Hornets make trade with Nets for rights to Hamidou Diallo, and in exhchange give Dwight Howard to them."
"2018-07-06","cash","Dwight Howard","Hornets","trade with Nets","On 2018-07-06, Hornets make trade with Nets for cash, and in exhchange give Dwight Howard to them."
"2018-07-07","Julyan Stone","Jerian Grant","Bulls","3-team trade with Hornets, Magic","On 2018-07-07, Bulls make 3-team trade with Hornets, Magic for Julyan Stone, and in exhchange give Jerian Grant to them."
"2018-07-07","Bismack Biyombo","Timofey Mozgov","Hornets","3-team trade with Bulls, Magic","On 2018-07-07, Hornets make 3-team trade with Bulls, Magic for Bismack Biyombo, and in exhchange give Timofey Mozgov to them."
"2018-07-07","Bismack Biyombo","Julyan Stone","Hornets","3-team trade with Bulls, Magic","On 2018-07-07, Hornets make 3-team trade with Bulls, Magic for Bismack Biyombo, and in exhchange give Julyan Stone to them."
"2018-07-07","Jerian Grant","Bismack Biyombo","Magic","3-team trade with Bulls, Hornets","On 2018-07-07, Magic make 3-team trade with Bulls, Hornets for Jerian Grant, and in exhchange give Bismack Biyombo to them."
"2018-07-13","Jeremy Lin","Jeremy Lin","Hawks","trade with Nets","On 2018-07-13, Hawks make trade with Nets for Jeremy Lin, and in exhchange give Jeremy Lin to them."
"2018-07-13","rights to Isaia Cordinier","Jeremy Lin","Nets","trade with Hawks","On 2018-07-13, Nets make trade with Hawks for rights to Isaia Cordinier, and in exhchange give Jeremy Lin to them."
"2018-07-13","Darrell Arthur","Isaiah Whitehead","Nets","trade with Nuggets","On 2018-07-13, Nets make trade with Nuggets for Darrell Arthur, and in exhchange give Isaiah Whitehead to them."
"2018-07-13","Kenneth Faried","Isaiah Whitehead","Nets","trade with Nuggets","On 2018-07-13, Nets make trade with Nuggets for Kenneth Faried, and in exhchange give Isaiah Whitehead to them."
"2018-07-17","Garrett Temple","Ben McLemore","Grizzlies","trade with Kings","On 2018-07-17, Grizzlies make trade with Kings for Garrett Temple, and in exhchange give Ben McLemore to them."
"2018-07-17","Garrett Temple","Deyonta Davis","Grizzlies","trade with Kings","On 2018-07-17, Grizzlies make trade with Kings for Garrett Temple, and in exhchange give Deyonta Davis to them."
"2018-07-17","Garrett Temple","cash","Grizzlies","trade with Kings","On 2018-07-17, Grizzlies make trade with Kings for Garrett Temple, and in exhchange give cash to them."
"2018-07-18","Kawhi Leonard","DeMar DeRozan","Raptors","trade with Spurs","On 2018-07-18, Raptors make trade with Spurs for Kawhi Leonard, and in exhchange give DeMar DeRozan to them."
"2018-07-18","Kawhi Leonard","Jakob Poeltl","Raptors","trade with Spurs","On 2018-07-18, Raptors make trade with Spurs for Kawhi Leonard, and in exhchange give Jakob Poeltl to them."
"2018-07-18","Danny Green","DeMar DeRozan","Raptors","trade with Spurs","On 2018-07-18, Raptors make trade with Spurs for Danny Green, and in exhchange give DeMar DeRozan to them."
"2018-07-18","Danny Green","Jakob Poeltl","Raptors","trade with Spurs","On 2018-07-18, Raptors make trade with Spurs for Danny Green, and in exhchange give Jakob Poeltl to them."
"2018-07-18","cash","DeMar DeRozan","Raptors","trade with Spurs","On 2018-07-18, Raptors make trade with Spurs for cash, and in exhchange give DeMar DeRozan to them."
"2018-07-18","cash","Jakob Poeltl","Raptors","trade with Spurs","On 2018-07-18, Raptors make trade with Spurs for cash, and in exhchange give Jakob Poeltl to them."
"2018-07-20","cash","Richaun Holmes","76ers","trade with Suns","On 2018-07-20, 76ers make trade with Suns for cash, and in exhchange give Richaun Holmes to them."
"2018-07-20","Dakari Johnson","Rodney Purvis","Magic","trade with Thunder","On 2018-07-20, Magic make trade with Thunder for Dakari Johnson, and in exhchange give Rodney Purvis to them."
"2018-07-20","cash","Rodney Purvis","Magic","trade with Thunder","On 2018-07-20, Magic make trade with Thunder for cash, and in exhchange give Rodney Purvis to them."
"2018-07-20","Jared Dudley","Darrell Arthur","Nets","trade with Suns","On 2018-07-20, Nets make trade with Suns for Jared Dudley, and in exhchange give Darrell Arthur to them."
"2018-07-22","Johnathan Motley","rights to Maarty Leunen","Clippers","trade with Mavericks","On 2018-07-22, Clippers make trade with Mavericks for Johnathan Motley, and in exhchange give rights to Maarty Leunen to them."
"2018-07-22","Johnathan Motley","cash","Clippers","trade with Mavericks","On 2018-07-22, Clippers make trade with Mavericks for Johnathan Motley, and in exhchange give cash to them."
"2018-07-22","rights to Renaldas Seibutis","rights to Maarty Leunen","Clippers","trade with Mavericks","On 2018-07-22, Clippers make trade with Mavericks for rights to Renaldas Seibutis, and in exhchange give rights to Maarty Leunen to them."
"2018-07-22","rights to Renaldas Seibutis","cash","Clippers","trade with Mavericks","On 2018-07-22, Clippers make trade with Mavericks for rights to Renaldas Seibutis, and in exhchange give cash to them."
"2018-07-23","Rodney Purvis","Abdel Nader","Celtics","trade with Thunder","On 2018-07-23, Celtics make trade with Thunder for Rodney Purvis, and in exhchange give Abdel Nader to them."
"2018-07-23","Dakari Johnson","Jarell Martin","Grizzlies","trade with Magic","On 2018-07-23, Grizzlies make trade with Magic for Dakari Johnson, and in exhchange give Jarell Martin to them."
"2018-07-23","Dakari Johnson","cash","Grizzlies","trade with Magic","On 2018-07-23, Grizzlies make trade with Magic for Dakari Johnson, and in exhchange give cash to them."
"2018-07-23","rights to Tyler Harvey","Jarell Martin","Grizzlies","trade with Magic","On 2018-07-23, Grizzlies make trade with Magic for rights to Tyler Harvey, and in exhchange give Jarell Martin to them."
"2018-07-23","rights to Tyler Harvey","cash","Grizzlies","trade with Magic","On 2018-07-23, Grizzlies make trade with Magic for rights to Tyler Harvey, and in exhchange give cash to them."
"2018-07-25","Mike Muscala","Justin Anderson","76ers","3-team trade with Hawks, Thunder","On 2018-07-25, 76ers make 3-team trade with Hawks, Thunder for Mike Muscala, and in exhchange give Justin Anderson to them."
"2018-07-25","Mike Muscala","Timothe Luwawu / Timothe Luwawu-Cabarrot","76ers","3-team trade with Hawks, Thunder","On 2018-07-25, 76ers make 3-team trade with Hawks, Thunder for Mike Muscala, and in exhchange give Timothe Luwawu / Timothe Luwawu-Cabarrot to them."
"2018-07-25","Carmelo Anthony","Dennis Schroder","Hawks","3-team trade with 76ers, Thunder","On 2018-07-25, Hawks make 3-team trade with 76ers, Thunder for Carmelo Anthony, and in exhchange give Dennis Schroder to them."
"2018-07-25","Carmelo Anthony","Mike Muscala","Hawks","3-team trade with 76ers, Thunder","On 2018-07-25, Hawks make 3-team trade with 76ers, Thunder for Carmelo Anthony, and in exhchange give Mike Muscala to them."
"2018-07-25","Justin Anderson","Dennis Schroder","Hawks","3-team trade with 76ers, Thunder","On 2018-07-25, Hawks make 3-team trade with 76ers, Thunder for Justin Anderson, and in exhchange give Dennis Schroder to them."
"2018-07-25","Timothe Luwawu / Timothe Luwawu-Cabarrot","Carmelo Anthony","Thunder","3-team trade with 76ers, Hawks","On 2018-07-25, Thunder make 3-team trade with 76ers, Hawks for Timothe Luwawu / Timothe Luwawu-Cabarrot, and in exhchange give Carmelo Anthony to them."
"2018-08-02","Chinanu Onuaku","rights to Maarty Leunen","Mavericks","trade with Rockets","On 2018-08-02, Mavericks make trade with Rockets for Chinanu Onuaku, and in exhchange give rights to Maarty Leunen to them."
"2018-08-07","Sam Dekker","rights to Vladimir Veremeenko","Cavaliers","trade with Clippers","On 2018-08-07, Cavaliers make trade with Clippers for Sam Dekker, and in exhchange give rights to Vladimir Veremeenko to them."
"2018-08-07","rights to Renaldas Seibutis","rights to Vladimir Veremeenko","Cavaliers","trade with Clippers","On 2018-08-07, Cavaliers make trade with Clippers for rights to Renaldas Seibutis, and in exhchange give rights to Vladimir Veremeenko to them."
"2018-08-07","cash","rights to Vladimir Veremeenko","Cavaliers","trade with Clippers","On 2018-08-07, Cavaliers make trade with Clippers for cash, and in exhchange give rights to Vladimir Veremeenko to them."
"2018-08-31","Marquese Chriss","Ryan Anderson","Rockets","trade with Suns","On 2018-08-31, Rockets make trade with Suns for Marquese Chriss, and in exhchange give Ryan Anderson to them."
"2018-08-31","Marquese Chriss","rights to De'Anthony Melton","Rockets","trade with Suns","On 2018-08-31, Rockets make trade with Suns for Marquese Chriss, and in exhchange give rights to De'Anthony Melton to them."
"2018-08-31","Brandon Knight","Ryan Anderson","Rockets","trade with Suns","On 2018-08-31, Rockets make trade with Suns for Brandon Knight, and in exhchange give Ryan Anderson to them."
"2018-08-31","Brandon Knight","rights to De'Anthony Melton","Rockets","trade with Suns","On 2018-08-31, Rockets make trade with Suns for Brandon Knight, and in exhchange give rights to De'Anthony Melton to them."
"2018-10-15","Alexis Ajinca / Alex Ajinca","Wesley Johnson / Wes Johnson","Clippers","trade with Pelicans","On 2018-10-15, Clippers make trade with Pelicans for Alexis Ajinca / Alex Ajinca, and in exhchange give Wesley Johnson / Wes Johnson to them."
"2018-11-12","Jimmy Butler","Robert Covington","76ers","trade with Timberwolves","On 2018-11-12, 76ers make trade with Timberwolves for Jimmy Butler, and in exhchange give Robert Covington to them."
"2018-11-12","Jimmy Butler","Dario Saric","76ers","trade with Timberwolves","On 2018-11-12, 76ers make trade with Timberwolves for Jimmy Butler, and in exhchange give Dario Saric to them."
"2018-11-12","Jimmy Butler","Jerryd Bayless","76ers","trade with Timberwolves","On 2018-11-12, 76ers make trade with Timberwolves for Jimmy Butler, and in exhchange give Jerryd Bayless to them."
"2018-11-12","Justin Patton","Robert Covington","76ers","trade with Timberwolves","On 2018-11-12, 76ers make trade with Timberwolves for Justin Patton, and in exhchange give Robert Covington to them."
"2018-11-12","Justin Patton","Dario Saric","76ers","trade with Timberwolves","On 2018-11-12, 76ers make trade with Timberwolves for Justin Patton, and in exhchange give Dario Saric to them."
"2018-11-12","Justin Patton","Jerryd Bayless","76ers","trade with Timberwolves","On 2018-11-12, 76ers make trade with Timberwolves for Justin Patton, and in exhchange give Jerryd Bayless to them."
"2018-11-29","Alec Burks","Kyle Korver","Cavaliers","trade with Jazz","On 2018-11-29, Cavaliers make trade with Jazz for Alec Burks, and in exhchange give Kyle Korver to them."
"2018-12-07","George Hill","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards","On 2018-12-07, Bucks make 3-team trade with Cavaliers, Wizards for George Hill, and in exhchange give Matthew Dellavedova / Matt Dellavedova to them."
"2018-12-07","George Hill","John Henson","Bucks","3-team trade with Cavaliers, Wizards","On 2018-12-07, Bucks make 3-team trade with Cavaliers, Wizards for George Hill, and in exhchange give John Henson to them."
"2018-12-07","Jason Smith","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards","On 2018-12-07, Bucks make 3-team trade with Cavaliers, Wizards for Jason Smith, and in exhchange give Matthew Dellavedova / Matt Dellavedova to them."
"2018-12-07","Jason Smith","John Henson","Bucks","3-team trade with Cavaliers, Wizards","On 2018-12-07, Bucks make 3-team trade with Cavaliers, Wizards for Jason Smith, and in exhchange give John Henson to them."
"2018-12-07","cash","Matthew Dellavedova / Matt Dellavedova","Bucks","3-team trade with Cavaliers, Wizards","On 2018-12-07, Bucks make 3-team trade with Cavaliers, Wizards for cash, and in exhchange give Matthew Dellavedova / Matt Dellavedova to them."
"2018-12-07","cash","John Henson","Bucks","3-team trade with Cavaliers, Wizards","On 2018-12-07, Bucks make 3-team trade with Cavaliers, Wizards for cash, and in exhchange give John Henson to them."
"2018-12-07","Matthew Dellavedova / Matt Dellavedova","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards","On 2018-12-07, Cavaliers make 3-team trade with Bucks, Wizards for Matthew Dellavedova / Matt Dellavedova, and in exhchange give Sam Dekker to them."
"2018-12-07","John Henson","Sam Dekker","Cavaliers","3-team trade with Bucks, Wizards","On 2018-12-07, Cavaliers make 3-team trade with Bucks, Wizards for John Henson, and in exhchange give Sam Dekker to them."
"2018-12-07","Sam Dekker","Jason Smith","Wizards","3-team trade with Bucks, Cavaliers","On 2018-12-07, Wizards make 3-team trade with Bucks, Cavaliers for Sam Dekker, and in exhchange give Jason Smith to them."
"2018-12-07","Sam Dekker","cash","Wizards","3-team trade with Bucks, Cavaliers","On 2018-12-07, Wizards make 3-team trade with Bucks, Cavaliers for Sam Dekker, and in exhchange give cash to them."
"2018-12-17","Kelly Oubre Jr.","Trevor Ariza","Suns","trade with Wizards","On 2018-12-17, Suns make trade with Wizards for Kelly Oubre Jr., and in exhchange give Trevor Ariza to them."
"2018-12-17","Austin Rivers","Trevor Ariza","Suns","trade with Wizards","On 2018-12-17, Suns make trade with Wizards for Austin Rivers, and in exhchange give Trevor Ariza to them."
"2019-01-03","MarShon Brooks","Justin Holiday","Bulls","trade with Grizzlies","On 2019-01-03, Bulls make trade with Grizzlies for MarShon Brooks, and in exhchange give Justin Holiday to them."
"2019-01-03","Wayne Selden Jr.","Justin Holiday","Bulls","trade with Grizzlies","On 2019-01-03, Bulls make trade with Grizzlies for Wayne Selden Jr., and in exhchange give Justin Holiday to them."
"2019-01-22","Carmelo Anthony","rights to Tadija Dragicevic","Bulls","trade with Rockets","On 2019-01-22, Bulls make trade with Rockets for Carmelo Anthony, and in exhchange give rights to Tadija Dragicevic to them."
"2019-01-22","rights to Jon Diebler","rights to Tadija Dragicevic","Bulls","trade with Rockets","On 2019-01-22, Bulls make trade with Rockets for rights to Jon Diebler, and in exhchange give rights to Tadija Dragicevic to them."
"2019-01-22","cash","rights to Tadija Dragicevic","Bulls","trade with Rockets","On 2019-01-22, Bulls make trade with Rockets for cash, and in exhchange give rights to Tadija Dragicevic to them."
