"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"cashJosh Howard","2010-02-13","cash","Josh Howard","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for cash, and in exhchange give Josh Howard to them.",FALSE,FALSE,"Mavericks, Wizards"
"cashDrew Gooden","2010-02-13","cash","Drew Gooden","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for cash, and in exhchange give Drew Gooden to them.",FALSE,FALSE,"Mavericks, Wizards"
"cashJames Singleton","2010-02-13","cash","James Singleton","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for cash, and in exhchange give James Singleton to them.",FALSE,FALSE,"Mavericks, Wizards"
"cashQuinton Ross","2010-02-13","cash","Quinton Ross","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for cash, and in exhchange give Quinton Ross to them.",FALSE,FALSE,"Mavericks, Wizards"
"Marcus CambyTravis Outlaw","2010-02-16","Marcus Camby","Travis Outlaw","Blazers","trade with Clippers","On 2010-02-16, Blazers make trade with Clippers for Marcus Camby, and in exhchange give Travis Outlaw to them.",FALSE,FALSE,"Blazers, Clippers"
"Marcus CambySteve Blake","2010-02-16","Marcus Camby","Steve Blake","Blazers","trade with Clippers","On 2010-02-16, Blazers make trade with Clippers for Marcus Camby, and in exhchange give Steve Blake to them.",FALSE,FALSE,"Blazers, Clippers"
"free agencyRicky Davis","2010-02-16","free agency","Ricky Davis","Clippers","waived","On 2010-02-16, Ricky Davis becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"Antawn JamisonZydrunas Ilgauskas","2010-02-17","Antawn Jamison","Zydrunas Ilgauskas","Cavaliers","3-team trade with Clippers, Wizards","On 2010-02-17, Cavaliers make 3-team trade with Clippers, Wizards for Antawn Jamison, and in exhchange give Zydrunas Ilgauskas to them.",FALSE,FALSE,"Cavaliers, Clippers, Wizards"
"Antawn JamisonEmir Preldzic","2010-02-17","Antawn Jamison","Emir Preldzic","Cavaliers","3-team trade with Clippers, Wizards","On 2010-02-17, Cavaliers make 3-team trade with Clippers, Wizards for Antawn Jamison, and in exhchange give rights to Emir Preldzic to them.",FALSE,TRUE,"Cavaliers, Clippers, Wizards"
"Antawn JamisonLazar Hayward","2010-02-17","Antawn Jamison","Lazar Hayward","Cavaliers","3-team trade with Clippers, Wizards","On 2010-02-17, Cavaliers make 3-team trade with Clippers, Wizards for Antawn Jamison, and in exhchange give 2010 first round pick (#30-Lazar Hayward) to them.",TRUE,FALSE,"Cavaliers, Clippers, Wizards"
"Sebastian TelfairZydrunas Ilgauskas","2010-02-17","Sebastian Telfair","Zydrunas Ilgauskas","Cavaliers","3-team trade with Clippers, Wizards","On 2010-02-17, Cavaliers make 3-team trade with Clippers, Wizards for Sebastian Telfair, and in exhchange give Zydrunas Ilgauskas to them.",FALSE,FALSE,"Cavaliers, Clippers, Wizards"
"Emir PreldzicSebastian Telfair","2010-02-17","Sebastian Telfair","Emir Preldzic","Cavaliers","3-team trade with Clippers, Wizards","On 2010-02-17, Cavaliers make 3-team trade with Clippers, Wizards for Sebastian Telfair, and in exhchange give rights to Emir Preldzic to them.",FALSE,TRUE,"Cavaliers, Clippers, Wizards"
"Lazar HaywardSebastian Telfair","2010-02-17","Sebastian Telfair","Lazar Hayward","Cavaliers","3-team trade with Clippers, Wizards","On 2010-02-17, Cavaliers make 3-team trade with Clippers, Wizards for Sebastian Telfair, and in exhchange give 2010 first round pick (#30-Lazar Hayward) to them.",TRUE,FALSE,"Cavaliers, Clippers, Wizards"
"Drew GoodenSebastian Telfair","2010-02-17","Drew Gooden","Sebastian Telfair","Clippers","3-team trade with Cavaliers, Wizards","On 2010-02-17, Clippers make 3-team trade with Cavaliers, Wizards for Drew Gooden, and in exhchange give Sebastian Telfair to them.",FALSE,FALSE,"Clippers, Cavaliers, Wizards"
"Al ThorntonDrew Gooden","2010-02-17","Drew Gooden","Al Thornton","Clippers","3-team trade with Cavaliers, Wizards","On 2010-02-17, Clippers make 3-team trade with Cavaliers, Wizards for Drew Gooden, and in exhchange give Al Thornton to them.",FALSE,FALSE,"Clippers, Cavaliers, Wizards"
"Drew GoodenZydrunas Ilgauskas","2010-02-17","Zydrunas Ilgauskas","Drew Gooden","Wizards","3-team trade with Cavaliers, Clippers","On 2010-02-17, Wizards make 3-team trade with Cavaliers, Clippers for Zydrunas Ilgauskas, and in exhchange give Drew Gooden to them.",FALSE,FALSE,"Wizards, Cavaliers, Clippers"
"Al ThorntonAntawn Jamison","2010-02-17","Al Thornton","Antawn Jamison","Wizards","3-team trade with Cavaliers, Clippers","On 2010-02-17, Wizards make 3-team trade with Cavaliers, Clippers for Al Thornton, and in exhchange give Antawn Jamison to them.",FALSE,FALSE,"Wizards, Cavaliers, Clippers"
"Drew GoodenEmir Preldzic","2010-02-17","Emir Preldzic","Drew Gooden","Wizards","3-team trade with Cavaliers, Clippers","On 2010-02-17, Wizards make 3-team trade with Cavaliers, Clippers for rights to Emir Preldzic, and in exhchange give Drew Gooden to them.",FALSE,TRUE,"Wizards, Cavaliers, Clippers"
"Drew GoodenLazar Hayward","2010-02-17","Lazar Hayward","Drew Gooden","Wizards","3-team trade with Cavaliers, Clippers","On 2010-02-17, Wizards make 3-team trade with Cavaliers, Clippers for 2010 first round pick (from Cavaliers) (#30-Lazar Hayward), and in exhchange give Drew Gooden to them.",TRUE,FALSE,"Wizards, Cavaliers, Clippers"
"Brian CardinalDarko Milicic","2010-02-17","Brian Cardinal","Darko Milicic","Knicks","trade with Timberwolves","On 2010-02-17, Knicks make trade with Timberwolves for Brian Cardinal, and in exhchange give Darko Milicic to them.",FALSE,FALSE,"Knicks, Timberwolves"
"Brian Cardinalcash","2010-02-17","Brian Cardinal","cash","Knicks","trade with Timberwolves","On 2010-02-17, Knicks make trade with Timberwolves for Brian Cardinal, and in exhchange give cash to them.",FALSE,FALSE,"Knicks, Timberwolves"
"Francisco ElsonPrimoz Brezec","2010-02-18","Francisco Elson","Primoz Brezec","76ers","trade with Bucks","On 2010-02-18, 76ers make trade with Bucks for Francisco Elson, and in exhchange give Primoz Brezec to them.",FALSE,FALSE,"76ers, Bucks"
"Francisco ElsonRoyal Ivey","2010-02-18","Francisco Elson","Royal Ivey","76ers","trade with Bucks","On 2010-02-18, 76ers make trade with Bucks for Francisco Elson, and in exhchange give Royal Ivey to them.",FALSE,FALSE,"76ers, Bucks"
"Darington HobsonFrancisco Elson","2010-02-18","Francisco Elson","Darington Hobson","76ers","trade with Bucks","On 2010-02-18, 76ers make trade with Bucks for Francisco Elson, and in exhchange give 2010 second round pick (#37-Darington Hobson) to them.",TRUE,FALSE,"76ers, Bucks"
"Jodie MeeksPrimoz Brezec","2010-02-18","Jodie Meeks","Primoz Brezec","76ers","trade with Bucks","On 2010-02-18, 76ers make trade with Bucks for Jodie Meeks, and in exhchange give Primoz Brezec to them.",FALSE,FALSE,"76ers, Bucks"
"Jodie MeeksRoyal Ivey","2010-02-18","Jodie Meeks","Royal Ivey","76ers","trade with Bucks","On 2010-02-18, 76ers make trade with Bucks for Jodie Meeks, and in exhchange give Royal Ivey to them.",FALSE,FALSE,"76ers, Bucks"
"Darington HobsonJodie Meeks","2010-02-18","Jodie Meeks","Darington Hobson","76ers","trade with Bucks","On 2010-02-18, 76ers make trade with Bucks for Jodie Meeks, and in exhchange give 2010 second round pick (#37-Darington Hobson) to them.",TRUE,FALSE,"76ers, Bucks"
"Ronald Murray / Flip MurrayTyrus Thomas","2010-02-18","Tyrus Thomas","Ronald Murray / Flip Murray","Bobcats","trade with Bulls","On 2010-02-18, Bobcats make trade with Bulls for Tyrus Thomas, and in exhchange give Ronald Murray / Flip Murray to them.",FALSE,FALSE,"Bobcats, Bulls"
"Acie LawTyrus Thomas","2010-02-18","Tyrus Thomas","Acie Law","Bobcats","trade with Bulls","On 2010-02-18, Bobcats make trade with Bulls for Tyrus Thomas, and in exhchange give Acie Law to them.",FALSE,FALSE,"Bobcats, Bulls"
"Jusuf NurkicTyrus Thomas","2010-02-18","Tyrus Thomas","Jusuf Nurkic","Bobcats","trade with Bulls","On 2010-02-18, Bobcats make trade with Bulls for Tyrus Thomas, and in exhchange give first round pick (protected top 14 in 2012, top 12 in 2013, top 10 in 2014, top 8 in 2015, unprotected in 2016) (2014 #16-Jusuf Nurkic) to them.",TRUE,FALSE,"Bobcats, Bulls"
"Hakim WarrickJohn Salmons","2010-02-18","John Salmons","Hakim Warrick","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for John Salmons, and in exhchange give Hakim Warrick to them.",FALSE,FALSE,"Bucks, Bulls"
"Joe AlexanderJohn Salmons","2010-02-18","John Salmons","Joe Alexander","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for John Salmons, and in exhchange give Joe Alexander to them.",FALSE,FALSE,"Bucks, Bulls"
"John SalmonsKevin Seraphin","2010-02-18","John Salmons","Kevin Seraphin","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for John Salmons, and in exhchange give Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin) to them.",TRUE,FALSE,"Bucks, Bulls"
"Hakim WarrickLarry Sanders (b)","2010-02-18","Larry Sanders (b)","Hakim Warrick","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b)), and in exhchange give Hakim Warrick to them.",TRUE,FALSE,"Bucks, Bulls"
"Joe AlexanderLarry Sanders (b)","2010-02-18","Larry Sanders (b)","Joe Alexander","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b)), and in exhchange give Joe Alexander to them.",TRUE,FALSE,"Bucks, Bulls"
"Kevin SeraphinLarry Sanders (b)","2010-02-18","Larry Sanders (b)","Kevin Seraphin","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#15-Larry Sanders (b)), and in exhchange give Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin) to them.",TRUE,FALSE,"Bucks, Bulls"
"Hakim WarrickIsaiah Thomas","2010-02-18","Isaiah Thomas","Hakim Warrick","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for 2011 second round pick (#60-Isaiah Thomas), and in exhchange give Hakim Warrick to them.",TRUE,FALSE,"Bucks, Bulls"
"Isaiah ThomasJoe Alexander","2010-02-18","Isaiah Thomas","Joe Alexander","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for 2011 second round pick (#60-Isaiah Thomas), and in exhchange give Joe Alexander to them.",TRUE,FALSE,"Bucks, Bulls"
"Isaiah ThomasKevin Seraphin","2010-02-18","Isaiah Thomas","Kevin Seraphin","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for 2011 second round pick (#60-Isaiah Thomas), and in exhchange give Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin) to them.",TRUE,FALSE,"Bucks, Bulls"
"Hakim WarrickRobert Sacre","2010-02-18","Robert Sacre","Hakim Warrick","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for 2012 second round pick (#60-Robert Sacre), and in exhchange give Hakim Warrick to them.",TRUE,FALSE,"Bucks, Bulls"
"Joe AlexanderRobert Sacre","2010-02-18","Robert Sacre","Joe Alexander","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for 2012 second round pick (#60-Robert Sacre), and in exhchange give Joe Alexander to them.",TRUE,FALSE,"Bucks, Bulls"
"Kevin SeraphinRobert Sacre","2010-02-18","Robert Sacre","Kevin Seraphin","Bucks","trade with Bulls","On 2010-02-18, Bucks make trade with Bulls for 2012 second round pick (#60-Robert Sacre), and in exhchange give Bucks option to swap 2010 first round picks (Bulls pick protected top 10) (#17-Kevin Seraphin) to them.",TRUE,FALSE,"Bucks, Bulls"
"Eddie HouseNate Robinson","2010-02-18","Nate Robinson","Eddie House","Celtics","trade with Knicks","On 2010-02-18, Celtics make trade with Knicks for Nate Robinson, and in exhchange give Eddie House to them.",FALSE,FALSE,"Celtics, Knicks"
"J.R. GiddensNate Robinson","2010-02-18","Nate Robinson","J.R. Giddens","Celtics","trade with Knicks","On 2010-02-18, Celtics make trade with Knicks for Nate Robinson, and in exhchange give J.R. Giddens to them.",FALSE,FALSE,"Celtics, Knicks"
"Bill WalkerNate Robinson","2010-02-18","Nate Robinson","Bill Walker","Celtics","trade with Knicks","On 2010-02-18, Celtics make trade with Knicks for Nate Robinson, and in exhchange give Bill Walker to them.",FALSE,FALSE,"Celtics, Knicks"
"Eddie HouseMarcus Landry","2010-02-18","Marcus Landry","Eddie House","Celtics","trade with Knicks","On 2010-02-18, Celtics make trade with Knicks for Marcus Landry, and in exhchange give Eddie House to them.",FALSE,FALSE,"Celtics, Knicks"
"J.R. GiddensMarcus Landry","2010-02-18","Marcus Landry","J.R. Giddens","Celtics","trade with Knicks","On 2010-02-18, Celtics make trade with Knicks for Marcus Landry, and in exhchange give J.R. Giddens to them.",FALSE,FALSE,"Celtics, Knicks"
"Bill WalkerMarcus Landry","2010-02-18","Marcus Landry","Bill Walker","Celtics","trade with Knicks","On 2010-02-18, Celtics make trade with Knicks for Marcus Landry, and in exhchange give Bill Walker to them.",FALSE,FALSE,"Celtics, Knicks"
"Donatas MotiejunasRonnie Brewer","2010-02-18","Ronnie Brewer","Donatas Motiejunas","Grizzlies","trade with Jazz","On 2010-02-18, Grizzlies make trade with Jazz for Ronnie Brewer, and in exhchange give first round pick (protected top 14 in 2011, top 12 in 2012, top 10 in 2013, top 9 in 2014-15, cash thereafter) (2011 #20-Donatas Motiejunas) to them.",TRUE,FALSE,"Grizzlies, Jazz"
"free agencyKenny Thomas","2010-02-18","free agency","Kenny Thomas","Kings","waived","On 2010-02-18, Kenny Thomas becomes a free agent from Kings",FALSE,FALSE,"Kings"
"Carl LandryKevin Martin","2010-02-18","Carl Landry","Kevin Martin","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Carl Landry, and in exhchange give Kevin Martin to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Carl LandryHilton Armstrong","2010-02-18","Carl Landry","Hilton Armstrong","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Carl Landry, and in exhchange give Hilton Armstrong to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Carl LandrySergio Rodriguez","2010-02-18","Carl Landry","Sergio Rodriguez","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Carl Landry, and in exhchange give Sergio Rodriguez to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Joey DorseyKevin Martin","2010-02-18","Joey Dorsey","Kevin Martin","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Joey Dorsey, and in exhchange give Kevin Martin to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Hilton ArmstrongJoey Dorsey","2010-02-18","Joey Dorsey","Hilton Armstrong","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Joey Dorsey, and in exhchange give Hilton Armstrong to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Joey DorseySergio Rodriguez","2010-02-18","Joey Dorsey","Sergio Rodriguez","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Joey Dorsey, and in exhchange give Sergio Rodriguez to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Kevin MartinLarry Hughes","2010-02-18","Larry Hughes","Kevin Martin","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Larry Hughes, and in exhchange give Kevin Martin to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Hilton ArmstrongLarry Hughes","2010-02-18","Larry Hughes","Hilton Armstrong","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Larry Hughes, and in exhchange give Hilton Armstrong to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Larry HughesSergio Rodriguez","2010-02-18","Larry Hughes","Sergio Rodriguez","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for Larry Hughes, and in exhchange give Sergio Rodriguez to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"cashKevin Martin","2010-02-18","cash","Kevin Martin","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for cash, and in exhchange give Kevin Martin to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"cashHilton Armstrong","2010-02-18","cash","Hilton Armstrong","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for cash, and in exhchange give Hilton Armstrong to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"cashSergio Rodriguez","2010-02-18","cash","Sergio Rodriguez","Kings","3-team trade with Knicks, Rockets","On 2010-02-18, Kings make 3-team trade with Knicks, Rockets for cash, and in exhchange give Sergio Rodriguez to them.",FALSE,FALSE,"Kings, Knicks, Rockets"
"Kevin MartinTracy McGrady","2010-02-18","Tracy McGrady","Kevin Martin","Knicks","3-team trade with Kings, Rockets","On 2010-02-18, Knicks make 3-team trade with Kings, Rockets for Tracy McGrady, and in exhchange give Kevin Martin to them.",FALSE,FALSE,"Knicks, Kings, Rockets"
"Hilton ArmstrongTracy McGrady","2010-02-18","Tracy McGrady","Hilton Armstrong","Knicks","3-team trade with Kings, Rockets","On 2010-02-18, Knicks make 3-team trade with Kings, Rockets for Tracy McGrady, and in exhchange give Hilton Armstrong to them.",FALSE,FALSE,"Knicks, Kings, Rockets"
"Jordan HillTracy McGrady","2010-02-18","Tracy McGrady","Jordan Hill","Knicks","3-team trade with Kings, Rockets","On 2010-02-18, Knicks make 3-team trade with Kings, Rockets for Tracy McGrady, and in exhchange give Jordan Hill to them.",FALSE,FALSE,"Knicks, Kings, Rockets"
"Jared JeffriesTracy McGrady","2010-02-18","Tracy McGrady","Jared Jeffries","Knicks","3-team trade with Kings, Rockets","On 2010-02-18, Knicks make 3-team trade with Kings, Rockets for Tracy McGrady, and in exhchange give Jared Jeffries to them.",FALSE,FALSE,"Knicks, Kings, Rockets"
