"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"free agencyRoko-Leni Ukic / Roko Ukic","2010-01-04","free agency","Roko-Leni Ukic / Roko Ukic","Bucks","waived","On 2010-01-04, Roko-Leni Ukic / Roko Ukic becomes a free agent from Bucks",FALSE,FALSE,"Bucks"
"free agencyMikki Moore","2010-01-04","free agency","Mikki Moore","Warriors","waived","On 2010-01-04, Mikki Moore becomes a free agent from Warriors",FALSE,FALSE,"Warriors"
"free agencyOthello Hunter","2010-01-05","free agency","Othello Hunter","Hawks","waived","On 2010-01-05, Othello Hunter becomes a free agent from Hawks",FALSE,FALSE,"Hawks"
"free agencySundiata Gaines","2010-01-05","Sundiata Gaines","free agency","Jazz","signed free agent to a 10-day contract","On 2010-01-05, Sundiata Gaines is signed free agent to a 10-day contract by Jazz",FALSE,FALSE,"Jazz"
"free agencyRafer Alston","2010-01-05","free agency","Rafer Alston","Nets","waived / renounced rights (reached buyout agreement)","On 2010-01-05, Rafer Alston becomes a free agent from Nets",FALSE,FALSE,"Nets"
"free agencyPops Mensah-Bonsu","2010-01-05","free agency","Pops Mensah-Bonsu","Raptors","waived","On 2010-01-05, Pops Mensah-Bonsu becomes a free agent from Raptors",FALSE,FALSE,"Raptors"
"free agencyShavlik Randolph","2010-01-06","free agency","Shavlik Randolph","Blazers","waived","On 2010-01-06, Shavlik Randolph becomes a free agent from Blazers",FALSE,FALSE,"Blazers"
"Coby Karlfree agency","2010-01-06","free agency","Coby Karl","Cavaliers","waived","On 2010-01-06, Coby Karl becomes a free agent from Cavaliers",FALSE,FALSE,"Cavaliers"
"free agencyLester Hudson","2010-01-06","free agency","Lester Hudson","Celtics","waived","On 2010-01-06, Lester Hudson becomes a free agent from Celtics",FALSE,FALSE,"Celtics"
"free agencyMike Harris","2010-01-06","free agency","Mike Harris","Rockets","waived","On 2010-01-06, Mike Harris becomes a free agent from Rockets",FALSE,FALSE,"Rockets"
"Cartier Martinfree agency","2010-01-10","Cartier Martin","free agency","Warriors","signed free agent to a 10-day contract","On 2010-01-10, Cartier Martin is signed free agent to a 10-day contract by Warriors",FALSE,FALSE,"Warriors"
"Eduardo NajeraKris Humphries","2010-01-11","Eduardo Najera","Kris Humphries","Mavericks","trade with Nets","On 2010-01-11, Mavericks make trade with Nets for Eduardo Najera, and in exhchange give Kris Humphries to them.",FALSE,FALSE,"Mavericks, Nets"
"Eduardo NajeraShawne Williams","2010-01-11","Eduardo Najera","Shawne Williams","Mavericks","trade with Nets","On 2010-01-11, Mavericks make trade with Nets for Eduardo Najera, and in exhchange give Shawne Williams to them.",FALSE,FALSE,"Mavericks, Nets"
"free agencySean Williams","2010-01-11","free agency","Sean Williams","Nets","waived","On 2010-01-11, Sean Williams becomes a free agent from Nets",FALSE,FALSE,"Nets"
"free agencyMario West","2010-01-12","Mario West","free agency","Hawks","signed free agent to a 10-day contract","On 2010-01-12, Mario West is signed free agent to a 10-day contract by Hawks",FALSE,FALSE,"Hawks"
"free agencyShawne Williams","2010-01-15","free agency","Shawne Williams","Nets","waived","On 2010-01-15, Shawne Williams becomes a free agent from Nets",FALSE,FALSE,"Nets"
"Anthony Tolliverfree agency","2010-01-17","Anthony Tolliver","free agency","Warriors","signed free agent to a 10-day contract","On 2010-01-17, Anthony Tolliver is signed free agent to a 10-day contract by Warriors",FALSE,FALSE,"Warriors"
"free agencyJerry Stackhouse","2010-01-18","Jerry Stackhouse","free agency","Bucks","signed free agent for the remainder of the season","On 2010-01-18, Jerry Stackhouse is signed free agent for the remainder of the season by Bucks",FALSE,FALSE,"Bucks"
"free agencyKareem Rush","2010-01-22","free agency","Kareem Rush","Clippers","waived","On 2010-01-22, Kareem Rush becomes a free agent from Clippers",FALSE,FALSE,"Clippers"
"free agencyJamesOn Curry","2010-01-22","JamesOn Curry","free agency","Clippers","signed free agent to a 10-day contract","On 2010-01-22, JamesOn Curry is signed free agent to a 10-day contract by Clippers",FALSE,FALSE,"Clippers"
"free agencyMarcus Haislip","2010-01-22","free agency","Marcus Haislip","Spurs","waived","On 2010-01-22, Marcus Haislip becomes a free agent from Spurs",FALSE,FALSE,"Spurs"
"Cedric Jacksonfree agency","2010-01-23","Cedric Jackson","free agency","Cavaliers","signed free agent to a 10-day contract","On 2010-01-23, Cedric Jackson is signed free agent to a 10-day contract by Cavaliers",FALSE,FALSE,"Cavaliers"
"Aaron GrayDevin Brown","2010-01-25","Devin Brown","Aaron Gray","Bulls","trade with Hornets","On 2010-01-25, Bulls make trade with Hornets for Devin Brown, and in exhchange give Aaron Gray to them.",FALSE,FALSE,"Bulls, Hornets"
"Bobby BrownJordan McRae","2010-01-26","Bobby Brown","Jordan McRae","Clippers","trade with Hornets","On 2010-01-26, Clippers make trade with Hornets for Bobby Brown, and in exhchange give 2014 second round pick (top 55 protected in 2014, else extinguished) (#58-Jordan McRae) to them.",TRUE,FALSE,"Clippers, Hornets"
"free agencyWill Conroy","2010-01-28","Will Conroy","free agency","Rockets","signed free agent to a 10-day contract","On 2010-01-28, Will Conroy is signed free agent to a 10-day contract by Rockets",FALSE,FALSE,"Rockets"
"Chris Richardfree agency","2010-02-05","Chris Richard","free agency","Bulls","signed free agent to a 10-day contract","On 2010-02-05, Chris Richard is signed free agent to a 10-day contract by Bulls",FALSE,FALSE,"Bulls"
"free agencyJason Hart","2010-02-05","Jason Hart","free agency","Hornets","signed free agent to a 10-day contract","On 2010-02-05, Jason Hart is signed free agent to a 10-day contract by Hornets",FALSE,FALSE,"Hornets"
"Craig Claxton / Speedy Claxtonfree agency","2010-02-06","free agency","Craig Claxton / Speedy Claxton","Warriors","waived","On 2010-02-06, Craig Claxton / Speedy Claxton becomes a free agent from Warriors",FALSE,FALSE,"Warriors"
"free agencyGarrett Temple","2010-02-08","Garrett Temple","free agency","Rockets","signed free agent to a 10-day contract","On 2010-02-08, Garrett Temple is signed free agent to a 10-day contract by Rockets",FALSE,FALSE,"Rockets"
"Caron ButlerJosh Howard","2010-02-13","Caron Butler","Josh Howard","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Caron Butler, and in exhchange give Josh Howard to them.",FALSE,FALSE,"Mavericks, Wizards"
"Caron ButlerDrew Gooden","2010-02-13","Caron Butler","Drew Gooden","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Caron Butler, and in exhchange give Drew Gooden to them.",FALSE,FALSE,"Mavericks, Wizards"
"Caron ButlerJames Singleton","2010-02-13","Caron Butler","James Singleton","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Caron Butler, and in exhchange give James Singleton to them.",FALSE,FALSE,"Mavericks, Wizards"
"Caron ButlerQuinton Ross","2010-02-13","Caron Butler","Quinton Ross","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Caron Butler, and in exhchange give Quinton Ross to them.",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodJosh Howard","2010-02-13","Brendan Haywood","Josh Howard","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Brendan Haywood, and in exhchange give Josh Howard to them.",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodDrew Gooden","2010-02-13","Brendan Haywood","Drew Gooden","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Brendan Haywood, and in exhchange give Drew Gooden to them.",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodJames Singleton","2010-02-13","Brendan Haywood","James Singleton","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Brendan Haywood, and in exhchange give James Singleton to them.",FALSE,FALSE,"Mavericks, Wizards"
"Brendan HaywoodQuinton Ross","2010-02-13","Brendan Haywood","Quinton Ross","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for Brendan Haywood, and in exhchange give Quinton Ross to them.",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonJosh Howard","2010-02-13","DeShawn Stevenson","Josh Howard","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for DeShawn Stevenson, and in exhchange give Josh Howard to them.",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonDrew Gooden","2010-02-13","DeShawn Stevenson","Drew Gooden","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for DeShawn Stevenson, and in exhchange give Drew Gooden to them.",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonJames Singleton","2010-02-13","DeShawn Stevenson","James Singleton","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for DeShawn Stevenson, and in exhchange give James Singleton to them.",FALSE,FALSE,"Mavericks, Wizards"
"DeShawn StevensonQuinton Ross","2010-02-13","DeShawn Stevenson","Quinton Ross","Mavericks","trade with Wizards","On 2010-02-13, Mavericks make trade with Wizards for DeShawn Stevenson, and in exhchange give Quinton Ross to them.",FALSE,FALSE,"Mavericks, Wizards"
