"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"Elton Brandfree agency","2016-01-04","Elton Brand","free agency","76ers","signed free agent for the remainder of the season","On 2016-01-04, Elton Brand is signed free agent for the remainder of the season by 76ers",FALSE,FALSE,"76ers"
"Christian Woodfree agency","2016-01-04","free agency","Christian Wood","76ers","waived","On 2016-01-04, Christian Wood becomes a free agent from 76ers",FALSE,FALSE,"76ers"
"Elijah Millsapfree agency","2016-01-05","free agency","Elijah Millsap","Jazz","waived","On 2016-01-05, Elijah Millsap becomes a free agent from Jazz",FALSE,FALSE,"Jazz"
"free agencyRyan Hollins","2016-01-07","free agency","Ryan Hollins","Grizzlies","waived","On 2016-01-07, Ryan Hollins becomes a free agent from Grizzlies",FALSE,FALSE,"Grizzlies"
"free agencyKostas Papanikolaou","2016-01-07","free agency","Kostas Papanikolaou","Nuggets","waived","On 2016-01-07, Kostas Papanikolaou becomes a free agent from Nuggets",FALSE,FALSE,"Nuggets"
"Bryce Cottonfree agency","2016-01-07","free agency","Bryce Cotton","Suns","waived","On 2016-01-07, Bryce Cotton becomes a free agent from Suns",FALSE,FALSE,"Suns"
"Cory Jeffersonfree agency","2016-01-07","free agency","Cory Jefferson","Suns","waived","On 2016-01-07, Cory Jefferson becomes a free agent from Suns",FALSE,FALSE,"Suns"
"Elliot Williamsfree agency","2016-01-08","Elliot Williams","free agency","Grizzlies","signed free agent to a 10-day contract","On 2016-01-08, Elliot Williams is signed free agent to a 10-day contract by Grizzlies",FALSE,FALSE,"Grizzlies"
"free agencyLorenzo Brown","2016-01-08","Lorenzo Brown","free agency","Suns","signed free agent to a 10-day contract","On 2016-01-08, Lorenzo Brown is signed free agent to a 10-day contract by Suns",FALSE,FALSE,"Suns"
"free agencySean Kilpatrick","2016-01-12","Sean Kilpatrick","free agency","Nuggets","signed free agent to a 10-day contract","On 2016-01-12, Sean Kilpatrick is signed free agent to a 10-day contract by Nuggets",FALSE,FALSE,"Nuggets"
"free agencyJoe Harris","2016-01-12","free agency","Joe Harris","Magic","waived","On 2016-01-12, Joe Harris becomes a free agent from Magic",FALSE,FALSE,"Magic"
"free agencyJ.J. O'Brien","2016-01-16","J.J. O'Brien","free agency","Jazz","signed free agent to a 10-day contract","On 2016-01-16, J.J. O'Brien is signed free agent to a 10-day contract by Jazz",FALSE,FALSE,"Jazz"
"free agencyKeith Appling","2016-01-18","Keith Appling","free agency","Magic","signed free agent to a 10-day contract","On 2016-01-18, Keith Appling is signed free agent to a 10-day contract by Magic",FALSE,FALSE,"Magic"
"Bryce Dejean-Jonesfree agency","2016-01-21","Bryce Dejean-Jones","free agency","Pelicans","signed free agent to a 10-day contract","On 2016-01-21, Bryce Dejean-Jones is signed free agent to a 10-day contract by Pelicans",FALSE,FALSE,"Pelicans"
"Josh SmithMaarty Leunen","2016-01-22","Maarty Leunen","Josh Smith","Clippers","trade with Rockets","On 2016-01-22, Clippers make trade with Rockets for rights to Maarty Leunen, and in exhchange give Josh Smith to them.",FALSE,TRUE,"Clippers, Rockets"
"Maarty LeunenSergei Lishouk / Sergei Lishchuk","2016-01-22","Maarty Leunen","Sergei Lishouk / Sergei Lishchuk","Clippers","trade with Rockets","On 2016-01-22, Clippers make trade with Rockets for rights to Maarty Leunen, and in exhchange give rights to Sergei Lishouk / Sergei Lishchuk to them.",FALSE,TRUE,"Clippers, Rockets"
"cashMaarty Leunen","2016-01-22","Maarty Leunen","cash","Clippers","trade with Rockets","On 2016-01-22, Clippers make trade with Rockets for rights to Maarty Leunen, and in exhchange give cash to them.",FALSE,TRUE,"Clippers, Rockets"
