"key","date","to","from","action_team","notes","edge_label","pick_involved","rights_involved","teams_involved"
"Kostas AntetokounmpoShake Milton","2018-06-21","Shake Milton","Kostas Antetokounmpo","76ers","trade with Mavericks","On 2018-06-21, 76ers make trade with Mavericks for rights to Shake Milton, and in exhchange give rights to Kostas Antetokounmpo to them.",FALSE,TRUE,"76ers, Mavericks"
"Mikal BridgesZhaire Smith","2018-06-21","Zhaire Smith","Mikal Bridges","76ers","trade with Suns","On 2018-06-21, 76ers make trade with Suns for rights to Zhaire Smith, and in exhchange give rights to Mikal Bridges to them.",FALSE,TRUE,"76ers, Suns"
"cashGary Trent Jr.","2018-06-21","Gary Trent Jr.","cash","Blazers","trade with Kings","On 2018-06-21, Blazers make trade with Kings for rights to Gary Trent Jr., and in exhchange give cash to them.",FALSE,TRUE,"Blazers, Kings"
"Miles BridgesShai Gilgeous-Alexander","2018-06-21","Shai Gilgeous-Alexander","Miles Bridges","Clippers","trade with Hornets","On 2018-06-21, Clippers make trade with Hornets for rights to Shai Gilgeous-Alexander, and in exhchange give rights to Miles Bridges to them.",FALSE,TRUE,"Clippers, Hornets"
"Luka DoncicTrae Young","2018-06-21","Trae Young","Luka Doncic","Hawks","trade with Mavericks","On 2018-06-21, Hawks make trade with Mavericks for rights to Trae Young, and in exhchange give rights to Luka Doncic to them.",FALSE,TRUE,"Hawks, Mavericks"
"cashVincent Edwards / Vince Edwards","2018-06-21","cash","Vincent Edwards / Vince Edwards","Jazz","trade with Rockets","On 2018-06-21, Jazz make trade with Rockets for cash, and in exhchange give rights to Vincent Edwards / Vince Edwards to them.",FALSE,TRUE,"Jazz, Rockets"
"Jarred VanderbiltJustin Jackson","2018-06-21","Justin Jackson","Jarred Vanderbilt","Magic","trade with Nuggets","On 2018-06-21, Magic make trade with Nuggets for rights to Justin Jackson, and in exhchange give rights to Jarred Vanderbilt to them.",FALSE,TRUE,"Magic, Nuggets"
"Chris Boucherfree agency","2018-06-22","free agency","Chris Boucher","Warriors","waived","On 2018-06-22, Chris Boucher becomes a free agent from Warriors",FALSE,FALSE,NA
"free agencyShelvin Mack","2018-06-25","free agency","Shelvin Mack","Magic","waived","On 2018-06-25, Shelvin Mack becomes a free agent from Magic",FALSE,FALSE,NA
"Austin RiversMarcin Gortat","2018-06-26","Marcin Gortat","Austin Rivers","Clippers","trade with Wizards","On 2018-06-26, Clippers make trade with Wizards for Marcin Gortat, and in exhchange give Austin Rivers to them.",FALSE,FALSE,"Clippers, Wizards"
