"date","from","to","action_team","notes"
"2018-01-29","Tobias Harris","Blake Griffin","Clippers","trade with Pistons"
"2018-01-29","Tobias Harris","Brice Johnson","Clippers","trade with Pistons"
"2018-01-29","Tobias Harris","Willie Reed","Clippers","trade with Pistons"
"2018-01-29","Avery Bradley","Blake Griffin","Clippers","trade with Pistons"
"2018-01-29","Avery Bradley","Brice Johnson","Clippers","trade with Pistons"
"2018-01-29","Avery Bradley","Willie Reed","Clippers","trade with Pistons"
"2018-01-29","Boban Marjanovic","Blake Griffin","Clippers","trade with Pistons"
"2018-01-29","Boban Marjanovic","Brice Johnson","Clippers","trade with Pistons"
"2018-01-29","Boban Marjanovic","Willie Reed","Clippers","trade with Pistons"
"2018-01-29","first round pick (protected top 4 in 2018-20, unprotected in 2021) (2018 #12-Miles Bridges)","Blake Griffin","Clippers","trade with Pistons"
"2018-01-29","first round pick (protected top 4 in 2018-20, unprotected in 2021) (2018 #12-Miles Bridges)","Brice Johnson","Clippers","trade with Pistons"
"2018-01-29","first round pick (protected top 4 in 2018-20, unprotected in 2021) (2018 #12-Miles Bridges)","Willie Reed","Clippers","trade with Pistons"
"2018-01-29","2019 second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets pick) (?-?)","Blake Griffin","Clippers","trade with Pistons"
"2018-01-29","2019 second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets pick) (?-?)","Brice Johnson","Clippers","trade with Pistons"
"2018-01-29","2019 second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets pick) (?-?)","Willie Reed","Clippers","trade with Pistons"
"2018-02-01","Omer Asik","Nikola Mirotic","Bulls","trade with Pelicans"
"2018-02-01","Omer Asik","2018 second round pick (#51-Tony Carr)","Bulls","trade with Pelicans"
"2018-02-01","Omer Asik","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Bulls","trade with Pelicans"
"2018-02-01","Tony Allen","Nikola Mirotic","Bulls","trade with Pelicans"
"2018-02-01","Tony Allen","2018 second round pick (#51-Tony Carr)","Bulls","trade with Pelicans"
"2018-02-01","Tony Allen","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Bulls","trade with Pelicans"
"2018-02-01","Jameer Nelson","Nikola Mirotic","Bulls","trade with Pelicans"
"2018-02-01","Jameer Nelson","2018 second round pick (#51-Tony Carr)","Bulls","trade with Pelicans"
"2018-02-01","Jameer Nelson","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Bulls","trade with Pelicans"
"2018-02-01","first round pick (protected top 5 in 2018, top 8 in 2019, top 10 in 2020, top 9 in 2021, top 6 in 2022, else 2022 second round pick, 2023 second round pick) (2018 #22-Chandler Hutchison)","Nikola Mirotic","Bulls","trade with Pelicans"
"2018-02-01","first round pick (protected top 5 in 2018, top 8 in 2019, top 10 in 2020, top 9 in 2021, top 6 in 2022, else 2022 second round pick, 2023 second round pick) (2018 #22-Chandler Hutchison)","2018 second round pick (#51-Tony Carr)","Bulls","trade with Pelicans"
"2018-02-01","first round pick (protected top 5 in 2018, top 8 in 2019, top 10 in 2020, top 9 in 2021, top 6 in 2022, else 2022 second round pick, 2023 second round pick) (2018 #22-Chandler Hutchison)","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Bulls","trade with Pelicans"
"2018-02-01","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Nikola Mirotic","Bulls","trade with Pelicans"
"2018-02-01","Bulls option to swap 2021 second round picks with Pelicans (?-?)","2018 second round pick (#51-Tony Carr)","Bulls","trade with Pelicans"
"2018-02-01","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Bulls option to swap 2021 second round picks with Pelicans (?-?)","Bulls","trade with Pelicans"
"2018-02-05","Tyler Zeller","Rashad Vaughn","Bucks","trade with Nets"
"2018-02-05","Tyler Zeller","second round pick (protected #48-60 in 2018, else unprotected in 2020) (2018 #45-Hamidou Diallo)","Bucks","trade with Nets"
"2018-02-07","Guillermo Hernangomez / Willy Hernangomez","Johnny O'Bryant III","Hornets","trade with Knicks"
"2018-02-07","Guillermo Hernangomez / Willy Hernangomez","2020 second round pick (?-?)","Hornets","trade with Knicks"
"2018-02-07","Guillermo Hernangomez / Willy Hernangomez","2021 second round pick (?-?)","Hornets","trade with Knicks"
"2018-02-08","rights to Milovan Rakovic","Noah Vonleh","Blazers","trade with Bulls"
"2018-02-08","rights to Milovan Rakovic","cash","Blazers","trade with Bulls"
"2018-02-08","2024 second round pick (protected top 55) (?-?)","Dwyane Wade","Cavaliers","trade with Heat"
"2018-02-08","Jordan Clarkson","Isaiah Thomas","Cavaliers","trade with Lakers"
"2018-02-08","Jordan Clarkson","Channing Frye","Cavaliers","trade with Lakers"
"2018-02-08","Jordan Clarkson","draft pick (protected top 3 in 2018, top 10 in 2023, else 2023 second round pick) (2018 #25-Moritz Wagner / Moe Wagner)","Cavaliers","trade with Lakers"
"2018-02-08","Larry Nance Jr.","Isaiah Thomas","Cavaliers","trade with Lakers"
"2018-02-08","Larry Nance Jr.","Channing Frye","Cavaliers","trade with Lakers"
"2018-02-08","Larry Nance Jr.","draft pick (protected top 3 in 2018, top 10 in 2023, else 2023 second round pick) (2018 #25-Moritz Wagner / Moe Wagner)","Cavaliers","trade with Lakers"
"2018-02-08","2018 second round pick (second least favorable of Grizzlies, Heat, Hornets picks) (#41-Jarred Vanderbilt)","Elfrid Payton","Magic","trade with Suns"
"2018-02-08","Dante Cunningham","Rashad Vaughn","Nets","trade with Pelicans"
"2018-02-08","Willie Reed","Jameer Nelson","Bulls","trade with Pistons"
"2018-02-08","Willie Reed","Bulls option to swap 2022 second round picks with Pistons (?-?)","Bulls","trade with Pistons"
"2018-02-08","Bulls option to swap 2022 second round picks with Pistons (?-?)","Jameer Nelson","Bulls","trade with Pistons"
"2018-02-08","Bulls option to swap 2022 second round picks with Pistons (?-?)","Bulls option to swap 2022 second round picks with Pistons (?-?)","Bulls","trade with Pistons"
"2018-02-08","George Hill","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","George Hill","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","George Hill","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","George Hill","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","George Hill","2020 second round pick (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","George Hill","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","George Hill","$2.1M cash","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","2020 second round pick (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Rodney Hood","$2.1M cash","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","2020 second round pick (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","rights to Arturas Gudaitis","$2.1M cash","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Derrick Rose","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Jae Crowder","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","Iman Shumpert","Cavaliers","3-team trade with Jazz, Kings"
"2018-02-08","Jazz option to swap 2024 second round picks with Cavaliers (?-?)","rights to Dimitrios Agravanis","Cavaliers","3-team trade with Jazz, Kings"
