"","Date","Team","Acquired","Relinquished","Notes"
"1","2018-12-07","Bucks","• George Hill• Jason Smith• modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)• 2021 second round pick (from Cavaliers) (?-?)• cash (from Wizards)","• Matthew Dellavedova / Matt Dellavedova• John Henson• draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)• 2021 second round pick (?-?)","3-team trade with Cavaliers, Wizards"
"2","2018-12-07","Cavaliers","• Matthew Dellavedova / Matt Dellavedova• John Henson• draft pick(s) (from Bucks) (first round protected top 14 in 2021 if Bucks sends first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)• 2021 second round pick (from Bucks) (?-?)• 2022 second round pick (from Wizards) (?-?)","• George Hill• Sam Dekker• 2021 second round pick (?-?)","3-team trade with Bucks, Wizards"
"3","2018-12-07","Wizards","• Sam Dekker","• Jason Smith• modification of protection on 2020 second round pick previously traded to Bucks (pick now unprotected)• 2022 second round pick (?-?)• cash","3-team trade with Bucks, Cavaliers"
"4","2018-12-17","Suns","• Kelly Oubre Jr.• Austin Rivers","• Trevor Ariza","trade with Wizards"
"5","2018-12-17","Wizards","• Trevor Ariza","• Kelly Oubre Jr.• Austin Rivers","trade with Suns"
"6","2019-01-03","Bulls","• MarShon Brooks• Wayne Selden Jr.• 2019 second round pick (?-?)• 2020 second round pick (?-?)","• Justin Holiday","trade with Grizzlies"
"7","2019-01-03","Grizzlies","• Justin Holiday","• MarShon Brooks• Wayne Selden Jr.• 2019 second round pick (?-?)• 2020 second round pick (?-?)","trade with Bulls"
"8","2019-01-07","Bulls","• Michael Carter-Williams• cash","• 2020 second round pick (protected top 55) (?-?)","trade with Rockets"
"9","2019-01-07","Rockets","• 2020 second round pick (protected top 55) (?-?)","• Michael Carter-Williams• cash","trade with Bulls"
"10","2019-01-22","Bulls","• Carmelo Anthony• rights to Jon Diebler• cash","• rights to Tadija Dragicevic","trade with Rockets"
"11","2019-01-22","Rockets","• rights to Tadija Dragicevic","• Carmelo Anthony• rights to Jon Diebler• cash","trade with Bulls"
