"","Date","Team","Acquired","Relinquished","Notes"
"1","2018-01-29","Clippers","• Tobias Harris• Avery Bradley• Boban Marjanovic• first round pick (protected top 4 in 2018-20, unprotected in 2021) (2018 #12-Miles Bridges)• 2019 second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets pick) (?-?)","• Blake Griffin• Brice Johnson• Willie Reed","trade with Pistons"
"2","2018-01-29","Pistons","• Blake Griffin• Brice Johnson• Willie Reed","• Tobias Harris• Avery Bradley• Boban Marjanovic• first round pick (protected top 4 in 2018-20, unprotected in 2021) (2018 #12-Miles Bridges)• 2019 second round pick (less favorable of (a) Blazers pick and (b) most favorable of Cavaliers, Magic, Rockets pick) (?-?)","trade with Clippers"
"3","2018-02-01","Bulls","• Omer Asik• Tony Allen• Jameer Nelson• first round pick (protected top 5 in 2018, top 8 in 2019, top 10 in 2020, top 9 in 2021, top 6 in 2022, else 2022 second round pick, 2023 second round pick) (2018 #22-Chandler Hutchison)• Bulls option to swap 2021 second round picks with Pelicans (?-?)","• Nikola Mirotic• 2018 second round pick (#51-Tony Carr)• Bulls option to swap 2021 second round picks with Pelicans (?-?)","trade with Pelicans"
"4","2018-02-01","Pelicans","• Nikola Mirotic• 2018 second round pick (#51-Tony Carr)• Bulls option to swap 2021 second round picks with Pelicans (?-?)","• Omer Asik• Tony Allen• Jameer Nelson• first round pick (protected top 5 in 2018, top 8 in 2019, top 10 in 2020, top 9 in 2021, top 6 in 2022, else 2022 second round pick, 2023 second round pick) (2018 #22-Chandler Hutchison)• Bulls option to swap 2021 second round picks with Pelicans (?-?)","trade with Bulls"
"5","2018-02-05","Bucks","• Tyler Zeller","• Rashad Vaughn• second round pick (protected #48-60 in 2018, else unprotected in 2020) (2018 #45-Hamidou Diallo)","trade with Nets"
"6","2018-02-05","Nets","• Rashad Vaughn• second round pick (protected #48-60 in 2018, else unprotected in 2020) (2018 #45-Hamidou Diallo)","• Tyler Zeller","trade with Bucks"
"7","2018-02-07","Hornets","• Guillermo Hernangomez / Willy Hernangomez","• Johnny O'Bryant III• 2020 second round pick (?-?)• 2021 second round pick (?-?)","trade with Knicks"
"8","2018-02-07","Knicks","• Johnny O'Bryant III• 2020 second round pick (?-?)• 2021 second round pick (?-?)","• Guillermo Hernangomez / Willy Hernangomez","trade with Hornets"
"9","2018-02-08","Blazers","• rights to Milovan Rakovic","• Noah Vonleh• cash","trade with Bulls"
"10","2018-02-08","Bulls","• Noah Vonleh• cash","• rights to Milovan Rakovic","trade with Blazers"
"11","2018-02-08","Cavaliers","• 2024 second round pick (protected top 55) (?-?)","• Dwyane Wade","trade with Heat"
"12","2018-02-08","Cavaliers","• Jordan Clarkson• Larry Nance Jr.","• Isaiah Thomas• Channing Frye• draft pick (protected top 3 in 2018, top 10 in 2023, else 2023 second round pick) (2018 #25-Moritz Wagner / Moe Wagner)","trade with Lakers"
"13","2018-02-08","Heat","• Dwyane Wade","• 2024 second round pick (protected top 55) (?-?)","trade with Cavaliers"
"14","2018-02-08","Lakers","• Isaiah Thomas• Channing Frye• draft pick (protected top 3 in 2018, top 10 in 2023, else 2023 second round pick) (2018 #25-Moritz Wagner / Moe Wagner)","• Jordan Clarkson• Larry Nance Jr.","trade with Cavaliers"
"15","2018-02-08","Magic","• 2018 second round pick (second least favorable of Grizzlies, Heat, Hornets picks) (#41-Jarred Vanderbilt)","• Elfrid Payton","trade with Suns"
"16","2018-02-08","Nets","• Dante Cunningham","• Rashad Vaughn","trade with Pelicans"
"17","2018-02-08","Pelicans","• Rashad Vaughn","• Dante Cunningham","trade with Nets"
"18","2018-02-08","Suns","• Elfrid Payton","• 2018 second round pick (second least favorable of Grizzlies, Heat, Hornets picks) (#41-Jarred Vanderbilt)","trade with Magic"
"19","2018-02-08","Bulls","• Willie Reed• Bulls option to swap 2022 second round picks with Pistons (?-?)","• Jameer Nelson• Bulls option to swap 2022 second round picks with Pistons (?-?)","trade with Pistons"
"20","2018-02-08","Cavaliers","• George Hill• Rodney Hood• rights to Arturas Gudaitis• Jazz option to swap 2024 second round picks with Cavaliers (?-?)","• Derrick Rose• Jae Crowder• Iman Shumpert• rights to Dimitrios Agravanis• 2020 second round pick (?-?)• Jazz option to swap 2024 second round picks with Cavaliers (?-?)• $2.1M cash","3-team trade with Jazz, Kings"
"21","2018-02-08","Grizzlies","• Brice Johnson• 2022 second round pick (less favorable of Bulls, Pistons picks) (?-?)","• James Ennis","trade with Pistons"
"22","2018-02-08","Hawks","• Okaro White","• Luke Babbitt","trade with Heat"
"23","2018-02-08","Hawks","• Sheldon McClellan / Sheldon Mac• cash","• 2019 second round pick (protected top 55) (?-?)","trade with Wizards"
"24","2018-02-08","Heat","• Luke Babbitt","• Okaro White","trade with Hawks"
