"","Date","Team","Acquired","Relinquished","Notes"
"25","2018-02-08","Jazz","• Derrick Rose• Jae Crowder• Jazz option to swap 2024 second round picks with Cavaliers (?-?)","• Rodney Hood• Joe Johnson• Jazz option to swap 2024 second round picks with Cavaliers (?-?)• $1.1M cash","3-team trade with Cavaliers, Kings"
"26","2018-02-08","Kings","• Bruno Caboclo","• Malachi Richardson","trade with Raptors"
"27","2018-02-08","Kings","• Joe Johnson• Iman Shumpert• rights to Dimitrios Agravanis• 2020 second round pick (from Cavaliers) (?-?)• $2.1M cash (from Cavaliers)• $1.1M cash (from Jazz)","• George Hill• rights to Arturas Gudaitis","3-team trade with Cavaliers, Jazz"
"28","2018-02-08","Pistons","• Jameer Nelson• Bulls option to swap 2022 second round picks with Pistons (?-?)","• Willie Reed• Bulls option to swap 2022 second round picks with Pistons (?-?)","trade with Bulls"
"29","2018-02-08","Pistons","• James Ennis","• Brice Johnson• 2022 second round pick (less favorable of Bulls, Pistons picks) (?-?)","trade with Grizzlies"
"30","2018-02-08","Raptors","• Malachi Richardson","• Bruno Caboclo","trade with Kings"
"31","2018-02-08","Wizards","• 2019 second round pick (protected top 55) (?-?)","• Sheldon McClellan / Sheldon Mac• cash","trade with Hawks"
"32","2018-02-08","Knicks","• Emmanuel Mudiay","• Doug McDermott• 2018 second round pick (less favorable of Clippers, Knicks picks) (#43-Justin Jackson)","3-team trade with Mavericks, Nuggets"
"33","2018-02-08","Mavericks","• Doug McDermott• 2018 second round pick (less favorable of Blazers, Kings picks) (from Nuggets) (#54-Shake Milton)","• Devin Harris","3-team trade with Knicks, Nuggets"
"34","2018-02-08","Nuggets","• Devin Harris• 2018 second round pick (from Knicks) (less favorable of Clippers, Knicks picks) (#43-Justin Jackson)","• Emmanuel Mudiay• 2018 second round pick (less favorable of Blazers, Kings picks) (#54-Shake Milton)","3-team trade with Knicks, Mavericks"
"35","2018-06-21","76ers","• 2021 second round pick (?-?)• 2023 second round pick (?-?)","• rights to Khyri Thomas","trade with Pistons"
"36","2018-06-21","76ers","• rights to Shake Milton","• rights to Ray Spalding• rights to Kostas Antetokounmpo","trade with Mavericks"
"37","2018-06-21","76ers","• rights to Zhaire Smith• 2021 first round pick (?-?)","• rights to Mikal Bridges","trade with Suns"
"38","2018-06-21","Blazers","• rights to Gary Trent Jr.","• 2019 second round pick (more favorable of Lakers, Timberwolves picks) (?-?)• 2021 second round pick (?-?)• cash","trade with Kings"
"39","2018-06-21","Clippers","• rights to Shai Gilgeous-Alexander","• rights to Miles Bridges• 2020 second round pick (?-?)• 2021 second round pick (?-?)","trade with Hornets"
"40","2018-06-21","Hawks","• 2019 second round pick (?-?)• 2023 second round pick (?-?)","• rights to Devonte' Graham","trade with Hornets"
"41","2018-06-21","Hawks","• rights to Trae Young• first round pick (protected top 5 in 2019-20, top 3 in 2021-22, unprotected in 2023) (?-?)","• rights to Luka Doncic","trade with Mavericks"
"42","2018-06-21","Hornets","• rights to Devonte' Graham","• 2019 second round pick (?-?)• 2023 second round pick (?-?)","trade with Hawks"
"43","2018-06-21","Hornets","• rights to Miles Bridges• 2020 second round pick (?-?)• 2021 second round pick (?-?)","• rights to Shai Gilgeous-Alexander","trade with Clippers"
"44","2018-06-21","Jazz","• cash","• rights to Vincent Edwards / Vince Edwards","trade with Rockets"
"45","2018-06-21","Kings","• 2019 second round pick (more favorable of Lakers, Timberwolves picks) (?-?)• 2021 second round pick (?-?)• cash","• rights to Gary Trent Jr.","trade with Blazers"
"46","2018-06-21","Magic","• rights to Justin Jackson• 2019 second round pick (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","• rights to Jarred Vanderbilt","trade with Nuggets"
"47","2018-06-21","Mavericks","• rights to Luka Doncic","• rights to Trae Young• first round pick (protected top 5 in 2019-20, top 3 in 2021-22, unprotected in 2023) (?-?)","trade with Hawks"
"48","2018-06-21","Mavericks","• rights to Ray Spalding• rights to Kostas Antetokounmpo","• rights to Shake Milton","trade with 76ers"
"49","2018-06-21","Nuggets","• rights to Jarred Vanderbilt","• rights to Justin Jackson• 2019 second round pick (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)","trade with Magic"
"50","2018-06-21","Pistons","• rights to Khyri Thomas","• 2021 second round pick (?-?)• 2023 second round pick (?-?)","trade with 76ers"
"51","2018-06-21","Rockets","• rights to Vincent Edwards / Vince Edwards","• cash","trade with Jazz"
"52","2018-06-21","Suns","• rights to Mikal Bridges","• rights to Zhaire Smith• 2021 first round pick (?-?)","trade with 76ers"
"53","2018-06-26","Clippers","• Marcin Gortat","• Austin Rivers","trade with Wizards"
"54","2018-06-26","Wizards","• Austin Rivers","• Marcin Gortat","trade with Clippers"
"55","2018-07-06","76ers","• Wilson Chandler• 2021 second round pick (?-?)• 76ers option to swap 2022 second round picks with Nuggets (?-?)","• 76ers option to swap 2022 second round picks with Nuggets (?-?)• cash","trade with Nuggets"
"56","2018-07-06","Nuggets","• 76ers option to swap 2022 second round picks with Nuggets (?-?)• cash","• Wilson Chandler• 2021 second round pick (?-?)• 76ers option to swap 2022 second round picks with Nuggets (?-?)","trade with 76ers"
"57","2018-07-06","Hornets","• 2019 second round pick (?-?)• cash","• rights to Hamidou Diallo","trade with Thunder"
"58","2018-07-06","Thunder","• rights to Hamidou Diallo","• 2019 second round pick (?-?)• cash","trade with Hornets"
"59","2018-07-06","76ers","• 2019 second round pick (?-?)• cash","• rights to Isaac Bonga","trade with Lakers"
"60","2018-07-06","Hornets","• Timofey Mozgov• rights to Hamidou Diallo• 2021 second round pick (?-?)• cash","• Dwight Howard","trade with Nets"
"61","2018-07-06","Lakers","• rights to Isaac Bonga","• 2019 second round pick (?-?)• cash","trade with 76ers"
"62","2018-07-06","Nets","• Dwight Howard","• Timofey Mozgov• rights to Hamidou Diallo• 2021 second round pick (?-?)• cash","trade with Hornets"
"63","2018-07-07","Bulls","• Julyan Stone","• Jerian Grant","3-team trade with Hornets, Magic"
"64","2018-07-07","Hornets","• Bismack Biyombo• 2019 second round pick (from Magic) (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)• 2020 second round pick (from Magic) (less favorable of Knicks, Nets picks) (?-?)","• Timofey Mozgov• Julyan Stone","3-team trade with Bulls, Magic"
"65","2018-07-07","Magic","• Timofey Mozgov• Jerian Grant","• Bismack Biyombo• 2019 second round pick (less favorable of Nuggets (protected #56-60), Wizards picks; if Nuggets pick is less favorable but falls within protected range, then Wizards pick) (?-?)• 2020 second round pick (less favorable of Knicks, Nets picks) (?-?)","3-team trade with Bulls, Hornets"
"66","2018-07-13","Hawks","• Jeremy Lin• Hawks option to swap 2023 second round picks with Nets (?-?)• 2025 second round pick (?-?)","• Jeremy Lin","trade with Nets"
"67","2018-07-13","Nets","• rights to Isaia Cordinier• 2020 second round pick (protected top 55) (?-?)• Hawks option to swap 2023 second round picks with Nets (less favorable of Hawks, Hornets picks) (?-?)","• Jeremy Lin• Hawks option to swap 2023 second round picks with Nets (?-?)• 2025 second round pick (?-?)","trade with Hawks"
"68","2018-07-13","Nets","• Darrell Arthur• Kenneth Faried• draft pick(s) (first round pick protected top 12 in 2019-24, else 2024 second round pick, 2025 second round pick) (?-?)• 2020 second round pick (?-?)","• Isaiah Whitehead","trade with Nuggets"
"69","2018-07-13","Nuggets","• Isaiah Whitehead","• Darrell Arthur• Kenneth Faried• draft pick(s) (first round pick protected top 12 in 2019-24, else 2024 second round pick, 2025 second round pick) (?-?)• 2020 second round pick (?-?)","trade with Nets"
"70","2018-07-17","Grizzlies","• Garrett Temple","• Ben McLemore• Deyonta Davis• 2021 second round pick (?-?)• $1.5M cash","trade with Kings"
"71","2018-07-17","Kings","• Ben McLemore• Deyonta Davis• 2021 second round pick (?-?)• $1.5M cash","• Garrett Temple","trade with Grizzlies"
"72","2018-07-18","Raptors","• Kawhi Leonard• Danny Green• $5M cash","• DeMar DeRozan• Jakob Poeltl• draft pick(s) (2019 first round pick protected top 20 in 2019, else 2020 second round pick, 2023 second round pick) (?-?)","trade with Spurs"
"73","2018-07-18","Spurs","• DeMar DeRozan• Jakob Poeltl• draft pick(s) (2019 first round pick protected top 20 in 2019, else 2020 second round pick, 2023 second round pick) (?-?)","• Kawhi Leonard• Danny Green• $5M cash","trade with Raptors"
"74","2018-07-20","76ers","• $1M cash","• Richaun Holmes","trade with Suns"
"75","2018-07-20","Magic","• Dakari Johnson• cash","• Rodney Purvis","trade with Thunder"
"76","2018-07-20","Nets","• Jared Dudley• 2021 second round pick (protected #31-35) (?-?)","• Darrell Arthur","trade with Suns"
"77","2018-07-20","Suns","• Darrell Arthur","• Jared Dudley• 2021 second round pick (protected #31-35) (?-?)","trade with Nets"
"78","2018-07-20","Suns","• Richaun Holmes","• $1M cash","trade with 76ers"
"79","2018-07-20","Thunder","• Rodney Purvis","• Dakari Johnson• cash","trade with Magic"
"80","2018-07-22","Clippers","• Johnathan Motley• rights to Renaldas Seibutis","• rights to Maarty Leunen• $50K cash","trade with Mavericks"
"81","2018-07-22","Mavericks","• rights to Maarty Leunen• $50K cash","• Johnathan Motley• rights to Renaldas Seibutis","trade with Clippers"
"82","2018-07-23","Celtics","• Rodney Purvis","• Abdel Nader• $450K cash","trade with Thunder"
"83","2018-07-23","Grizzlies","• Dakari Johnson• rights to Tyler Harvey","• Jarell Martin• cash","trade with Magic"
"84","2018-07-23","Magic","• Jarell Martin• cash","• Dakari Johnson• rights to Tyler Harvey","trade with Grizzlies"
"85","2018-07-23","Thunder","• Abdel Nader• $450K cash","• Rodney Purvis","trade with Celtics"
"86","2018-07-25","76ers","• Mike Muscala","• Justin Anderson• Timothe Luwawu / Timothe Luwawu-Cabarrot","3-team trade with Hawks, Thunder"
"87","2018-07-25","Hawks","• Carmelo Anthony• Justin Anderson• draft pick(s) (2022 first round pick, protected top 14 in 2022, else 2024 second round pick, 2025 second round pick (?-?)) (from Thunder) (?-?)","• Dennis Schroder• Mike Muscala","3-team trade with 76ers, Thunder"
"88","2018-07-25","Thunder","• Dennis Schroder• Timothe Luwawu / Timothe Luwawu-Cabarrot","• Carmelo Anthony• draft pick(s) (2022 first round pick, protected top 14 in 2022, else 2024 second round pick, 2025 second round pick (?-?)","3-team trade with 76ers, Hawks"
"89","2018-08-02","Mavericks","• Chinanu Onuaku• Mavericks option to swap 2020 second round picks with Rockets (?-?)• cash","• rights to Maarty Leunen• Mavericks option to swap 2020 second round picks with Rockets (?-?)","trade with Rockets"
"90","2018-08-02","Rockets","• rights to Maarty Leunen• Mavericks option to swap 2020 second round picks with Rockets (?-?)","• Chinanu Onuaku• Mavericks option to swap 2020 second round picks with Rockets (?-?)• cash","trade with Mavericks"
"91","2018-08-07","Cavaliers","• Sam Dekker• rights to Renaldas Seibutis• cash","• rights to Vladimir Veremeenko","trade with Clippers"
"92","2018-08-07","Clippers","• rights to Vladimir Veremeenko","• Sam Dekker• rights to Renaldas Seibutis• cash","trade with Cavaliers"
"93","2018-08-31","Rockets","• Marquese Chriss• Brandon Knight","• Ryan Anderson• rights to De'Anthony Melton","trade with Suns"
"94","2018-08-31","Suns","• Ryan Anderson• rights to De'Anthony Melton","• Marquese Chriss• Brandon Knight","trade with Rockets"
"95","2018-10-15","Bucks","• Jodie Meeks• modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)• cash","• modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)","trade with Wizards"
"96","2018-10-15","Wizards","• modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)","• Jodie Meeks• modification of protection on 2020 second round pick previously traded from Wizards to Bucks in Jared Dudley trade (now protected top 45 in 2020, else unprotected in 2022) (?-?)• cash","trade with Bucks"
"97","2018-10-15","Clippers","• Alexis Ajinca / Alex Ajinca","• Wesley Johnson / Wes Johnson","trade with Pelicans"
"98","2018-10-15","Pelicans","• Wesley Johnson / Wes Johnson","• Alexis Ajinca / Alex Ajinca","trade with Clippers"
"99","2018-11-12","76ers","• Jimmy Butler• Justin Patton","• Robert Covington• Dario Saric• Jerryd Bayless• 2022 second round pick (more favorable of 76ers, Nuggets picks) (?-?)","trade with Timberwolves"
"100","2018-11-12","Timberwolves","• Robert Covington• Dario Saric• Jerryd Bayless• 2022 second round pick (more favorable of 76ers, Nuggets picks) (?-?)","• Jimmy Butler• Justin Patton","trade with 76ers"
"101","2018-11-29","Cavaliers","• Alec Burks• 2020 second round pick (?-?)• 2021 second round pick (?-?)","• Kyle Korver","trade with Jazz"
"102","2018-11-29","Jazz","• Kyle Korver","• Alec Burks• 2020 second round pick (?-?)• 2021 second round pick (?-?)","trade with Cavaliers"
"103","2018-12-07","Bucks","• George Hill• Jason Smith• modification of protection on 2020 second round pick previously acquired from Wizards (pick now unprotected)• 2021 second round pick (from Cavaliers) (?-?)• cash (from Wizards)","• Matthew Dellavedova / Matt Dellavedova• John Henson• draft pick(s) (first round protected top 14 in 2021 if Bucks send first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)• 2021 second round pick (?-?)","3-team trade with Cavaliers, Wizards"
"104","2018-12-07","Cavaliers","• Matthew Dellavedova / Matt Dellavedova• John Henson• draft pick(s) (from Bucks) (first round protected top 14 in 2021 if Bucks sends first round pick to Suns in 2019, top 10 in 2022 if Bucks send first round pick to Suns in 2020, top 10 in 2023, top 8 in 2024, else 2024 second round pick, 2025 second round pick) (?-?)• 2021 second round pick (from Bucks) (?-?)• 2022 second round pick (from Wizards) (?-?)","• George Hill• Sam Dekker• 2021 second round pick (?-?)","3-team trade with Bucks, Wizards"
"105","2018-12-07","Wizards","• Sam Dekker","• Jason Smith• modification of protection on 2020 second round pick previously traded to Bucks (pick now unprotected)• 2022 second round pick (?-?)• cash","3-team trade with Bucks, Cavaliers"
"106","2018-12-17","Suns","• Kelly Oubre Jr.• Austin Rivers","• Trevor Ariza","trade with Wizards"
"107","2018-12-17","Wizards","• Trevor Ariza","• Kelly Oubre Jr.• Austin Rivers","trade with Suns"
"108","2019-01-03","Bulls","• MarShon Brooks• Wayne Selden Jr.• 2019 second round pick (?-?)• 2020 second round pick (?-?)","• Justin Holiday","trade with Grizzlies"
"109","2019-01-03","Grizzlies","• Justin Holiday","• MarShon Brooks• Wayne Selden Jr.• 2019 second round pick (?-?)• 2020 second round pick (?-?)","trade with Bulls"
"110","2019-01-07","Bulls","• Michael Carter-Williams• cash","• 2020 second round pick (protected top 55) (?-?)","trade with Rockets"
"111","2019-01-07","Rockets","• 2020 second round pick (protected top 55) (?-?)","• Michael Carter-Williams• cash","trade with Bulls"
"112","2019-01-22","Bulls","• Carmelo Anthony• rights to Jon Diebler• cash","• rights to Tadija Dragicevic","trade with Rockets"
"113","2019-01-22","Rockets","• rights to Tadija Dragicevic","• Carmelo Anthony• rights to Jon Diebler• cash","trade with Bulls"
