"","Date","Team","Acquired","Relinquished","Notes"
"141","2008-08-11","Bobcats","• 2009 second round pick (#40-Derrick Brown)","• rights to Kyle Weaver","trade with Sonics"
"142","2008-08-11","Sonics","• rights to Kyle Weaver","• 2009 second round pick (#40-Derrick Brown)","trade with Bobcats"
"143","2008-08-13","Bucks","• Luke Ridnour• Adrian Griffin• Damon Jones","• Maurice Williams / Mo Williams• Desmond Mason","3-team trade with Cavaliers, Sonics"
"144","2008-08-13","Cavaliers","• Maurice Williams / Mo Williams","• Damon Jones• Joe Smith","3-team trade with Bucks, Sonics"
"145","2008-08-13","Sonics","• Joe Smith• Desmond Mason","• Luke Ridnour• Adrian Griffin","3-team trade with Bucks, Cavaliers"
"146","2008-08-14","Kings","• Bobby Jackson• Donte Greene• first round pick (protected top 14 in 2009-10, top 10 in 2011-12, top 5 in 2013, top 3 in 2014, unprotected in 2015) (2009 #23-Omri Casspi)• $1M cash","• Ron Artest / Metta World Peace• Sean Singletary• Patrick Ewing Jr.","trade with Rockets"
"147","2008-08-14","Rockets","• Ron Artest / Metta World Peace• Sean Singletary• Patrick Ewing Jr.","• Bobby Jackson• Donte Greene• first round pick (protected top 14 in 2009-10, top 10 in 2011-12, top 5 in 2013, top 3 in 2014, unprotected in 2015) (2009 #23-Omri Casspi)• $1M cash","trade with Kings"
"148","2008-08-25","Rockets","• D.J. Strawberry","• Sean Singletary","trade with Suns"
"149","2008-08-25","Suns","• Sean Singletary","• D.J. Strawberry","trade with Rockets"
"150","2008-08-29","Knicks","• Patrick Ewing Jr.","• rights to Frederic Weis","trade with Rockets"
"151","2008-08-29","Rockets","• rights to Frederic Weis","• Patrick Ewing Jr.","trade with Knicks"
"152","2008-10-10","Mavericks","• Shawne Williams","• Eddie Jones• 2009 second round pick (#52-A.J. Price)• 2010 or 2011 second round pick (Mavericks option) (2010 #57-Ryan Reid)• ~$1.8M cash","trade with Pacers"
"153","2008-10-10","Pacers","• Eddie Jones• 2009 second round pick (#52-A.J. Price)• 2010 or 2011 second round pick (Mavericks option) (2010 #57-Ryan Reid)• ~$1.8M cash","• Shawne Williams","trade with Mavericks"
"154","2008-11-03","Nuggets","• Chauncey Billups• Antonio McDyess• Cheikh Samb","• Allen Iverson","trade with Pistons"
"155","2008-11-03","Pistons","• Allen Iverson","• Chauncey Billups• Antonio McDyess• Cheikh Samb","trade with Nuggets"
"156","2008-11-21","Clippers","• Zach Randolph• Mardy Collins","• Tim Thomas• Cuttino Mobley","trade with Knicks"
"157","2008-11-21","Knicks","• Al Harrington","• Jamal Crawford","trade with Warriors"
"158","2008-11-21","Knicks","• Tim Thomas• Cuttino Mobley","• Zach Randolph• Mardy Collins","trade with Clippers"
"159","2008-11-21","Warriors","• Jamal Crawford","• Al Harrington","trade with Knicks"
"160","2008-12-10","Bobcats","• Boris Diaw• Raja Bell• Sean Singletary","• Jason Richardson• Jared Dudley• 2010 second round pick (#46-Gani Lawal)","trade with Suns"
"161","2008-12-10","Grizzlies","• first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick) (2010 #12-Xavier Henry)","• Javaris Crittenton• 2015 conditional second round pick or $350K cash (Grizzlies option) (cash)","3-team trade with Hornets, Wizards"
"162","2008-12-10","Hornets","• Antonio Daniels• 2015 conditional second round pick (from Grizzlies) or $350K cash (Grizzlies option) (cash)","• Mike James (Lamont)","3-team trade with Grizzlies, Wizards"
"163","2008-12-10","Suns","• Jason Richardson• Jared Dudley• 2010 second round pick (#46-Gani Lawal)","• Boris Diaw• Raja Bell• Sean Singletary","trade with Bobcats"
"164","2008-12-10","Wizards","• Javaris Crittenton• Mike James (Lamont)","• Antonio Daniels• first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick) (2010 #12-Xavier Henry)","3-team trade with Grizzlies, Hornets"
"165","2008-12-23","Grizzlies","• Steve Francis• 2009 second round pick (#36-Sam Young)• cash","• 2011 second round pick (protected top 55 in 2011) (not exercised)","trade with Rockets"
