"","Date","Team","Acquired","Relinquished","Notes"
"20","2007-06-15","Raptors","• Carlos Delfino","• 2009 second round pick (#39-Jonas Jerebko)• 2011 second round pick (#33-Kyle Singler)","trade with Pistons"
"21","2007-06-28","76ers","• rights to Herbert Hill• future draft considerations (?)","• rights to Kyrylo Fesenko","trade with Jazz"
"22","2007-06-28","76ers","• rights to Jason Smith","• rights to Daequan Cook• 2009 second round pick (#45-Nick Calathes)• cash","trade with Heat"
"23","2007-06-28","Blazers","• rights to Rudy Fernandez","• $3M cash","trade with Suns"
"24","2007-06-28","Blazers","• Steve Francis• Channing Frye• 2008 second round pick (#36-Omer Asik)","• Zach Randolph• Fred Jones• Dan Dickau• rights to Demetris Nichols","trade with Knicks"
"25","2007-06-28","Bobcats","• Jason Richardson• rights to Jermareo Davidson","• rights to Brandan Wright","trade with Warriors"
"26","2007-06-28","Celtics","• Ray Allen• rights to Glen Davis","• Wally Szczerbiak• Delonte West• rights to Jeff Green• 2008 second round pick (more favorable of Blazers, Celtics picks) (#46-Trent Plaisted)","trade with Sonics"
"27","2007-06-28","Heat","• rights to Daequan Cook• 2009 second round pick (#45-Nick Calathes)• cash","• rights to Jason Smith","trade with 76ers"
"28","2007-06-28","Jazz","• rights to Kyrylo Fesenko","• rights to Herbert Hill• future draft considerations (?)","trade with 76ers"
"29","2007-06-28","Knicks","• Zach Randolph• Fred Jones• Dan Dickau• rights to Demetris Nichols","• Steve Francis• Channing Frye• 2008 second round pick (#36-Omer Asik)","trade with Blazers"
"30","2007-06-28","Magic","• cash","• 2007 second round pick (#54-Brad Newley)","trade with Rockets"
"31","2007-06-28","Rockets","• 2007 second round pick (#54-Brad Newley)","• cash","trade with Magic"
"32","2007-06-28","Sonics","• Wally Szczerbiak• Delonte West• rights to Jeff Green• 2008 second round pick (more favorable of Blazers, Celtics picks) (#46-Trent Plaisted)","• Ray Allen• rights to Glen Davis","trade with Celtics"
"33","2007-06-28","Warriors","• rights to Brandan Wright","• Jason Richardson• rights to Jermareo Davidson","trade with Bobcats"
"34","2007-06-28","76ers","• rights to Derrick Byars• cash","• rights to Petteri Koponen","trade with Blazers"
"35","2007-06-28","Blazers","• rights to Petteri Koponen","• rights to Derrick Byars• cash","trade with 76ers"
"36","2007-06-28","Magic","• rights to Milovan Rakovic• cash","• rights to Reyshawn Terry","trade with Mavericks"
"37","2007-06-28","Mavericks","• rights to Reyshawn Terry","• rights to Milovan Rakovic• cash","trade with Magic"
"38","2007-06-28","Rockets","• rights to Carl Landry","• 2008 second round pick (#56-Sasha Kaun)• cash","trade with Sonics"
"39","2007-06-28","Sonics","• 2008 second round pick (#56-Sasha Kaun)• cash","• rights to Carl Landry","trade with Rockets"
"40","2007-06-28","Heat","• 2009 second round pick (#43-Marcus Thornton)","• rights to Stanko Barac","trade with Pacers"
"41","2007-06-28","Pacers","• rights to Stanko Barac","• 2009 second round pick (#43-Marcus Thornton)","trade with Heat"
"42","2007-06-28","Raptors","• rights to Giorgos Printezis","• 2008 second round pick (#45-Goran Dragic)","trade with Spurs"
"43","2007-06-28","Spurs","• 2008 second round pick (#45-Goran Dragic)","• rights to Giorgos Printezis","trade with Raptors"
"44","2007-07-11","Blazers","• James Jones (b)• rights to Rudy Fernandez","• $3M cash","trade with Suns"
"45","2007-07-11","Magic","• Rashard Lewis","• 2009 protected second round pick (top 55 in 2009, extinguished thereafter) (#57-Emir Preldzic)• $9M trade exception","trade with Sonics"
"46","2007-07-11","Sonics","• 2009 protected second round pick (top 55 in 2009, extinguished thereafter) (#57-Emir Preldzic)• $9M trade exception","• Rashard Lewis","trade with Magic"
"47","2007-07-11","Suns","• $3M cash","• James Jones (b)• rights to Rudy Fernandez","trade with Blazers"
"48","2007-07-12","Rockets","• Jackie Butler• rights to Luis Scola","• rights to Vassilis Spanoulis• 2009 second round pick (#53-Nando De Colo)• cash• future considerations (?)","trade with Spurs"
"49","2007-07-12","Spurs","• rights to Vassilis Spanoulis• 2009 second round pick (#53-Nando De Colo)• cash• future considerations (?)","• Jackie Butler• rights to Luis Scola","trade with Rockets"
"50","2007-07-19","Bucks","","","renounced their traded player exceptions"
"51","2007-07-20","Sonics","• Kurt Thomas• 2008 first round pick (#24-Serge Ibaka)• 2010 first round pick (#26-Quincy Pondexter)","• 2009 second round pick (protected top 55 in 2009, extinguished thereafter) (#57-Emir Preldzic)• $9M trade exception","trade with Suns"
"52","2007-07-20","Suns","• 2009 second round pick (protected top 55 in 2009, extinguished thereafter) (#57-Emir Preldzic)• $9M trade exception","• Kurt Thomas• 2008 first round pick (#24-Serge Ibaka)• 2010 first round pick (#26-Quincy Pondexter)","trade with Sonics"
"53","2007-07-31","Celtics","• Kevin Garnett","• Al Jefferson• Gerald Green (b)• Theo Ratliff• Ryan Gomes• Sebastian Telfair• first round pick (protected top 3 in 2009, top 2 in 2010, top 2 in 2011, unprotected in 2012) (#6-Jonny Flynn)• conditional first round pick (2009 #28-Wayne Ellington)• cash","trade with Timberwolves"
"54","2007-07-31","Timberwolves","• Al Jefferson• Gerald Green (b)• Theo Ratliff• Ryan Gomes• Sebastian Telfair• first round pick (protected top 3 in 2009, top 2 in 2010, top 2 in 2011, unprotected in 2012) (#6-Jonny Flynn)• conditional first round pick (2009 #28-Wayne Ellington)• cash","• Kevin Garnett","trade with Celtics"
"55","2007-08-16","Grizzlies","• rights to Juan Carlos Navarro","• first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick, $1M cash) (2010 #12-Xavier Henry)","trade with Wizards"
"56","2007-08-16","Wizards","• first round pick (from Wizards) (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick, $1M cash) (2010 #12-Xavier Henry)","• rights to Juan Carlos Navarro","trade with Grizzlies"
"57","2007-09-10","76ers","• Reggie Evans• rights to Ricky Sanchez","• Steven Hunter• Bobby Jones (R.)","trade with Nuggets"
"58","2007-09-10","Nuggets","• Steven Hunter• Bobby Jones (R.)","• Reggie Evans• rights to Ricky Sanchez","trade with 76ers"
"59","2007-09-28","Mavericks","• Trenton Hassell","• Greg Buckner","trade with Timberwolves"
"60","2007-09-28","Timberwolves","• Greg Buckner","• Trenton Hassell","trade with Mavericks"
"61","2007-09-29","Cavaliers","• Cedric Simmons","• David Wesley• cash","trade with Hornets"
"62","2007-09-29","Hornets","• David Wesley• cash","• Cedric Simmons","trade with Cavaliers"
"63","2007-09-30","Clippers","• cash","• rights to Jared Jordan","trade with Knicks"
"64","2007-09-30","Knicks","• rights to Jared Jordan","• cash","trade with Clippers"
"65","2007-10-24","Heat","• Ricky Davis• Mark Blount","• Antoine Walker• Wayne Simien• Michael Doleac• first round pick (protected top 14 in 2008, top 10 in 2009, top 6 in 2010, unprotected in 2011) (2009 #18-Ty Lawson)• cash","trade with Timberwolves"
"66","2007-10-24","Timberwolves","• Antoine Walker• Wayne Simien• Michael Doleac• first round pick (protected top 14 in 2008, top 10 in 2009, top 6 in 2010, unprotected in 2011) (2009 #18-Ty Lawson)• cash","• Ricky Davis• Mark Blount","trade with Heat"
"67","2007-10-29","Hornets","• Bernard Robinson• Mile Ilic• cash","• David Wesley","trade with Nets"
"68","2007-10-29","Nets","• David Wesley","• Bernard Robinson• Mile Ilic• cash","trade with Hornets"
"69","2007-10-29","Spurs","• 2008 second round pick (top 57 protected) (not exercised)","• Beno Udrih• cash","trade with Timberwolves"
"70","2007-10-29","Timberwolves","• Beno Udrih• cash","• 2008 second round pick (top 57 protected) (not exercised)","trade with Spurs"
"71","2007-11-20","Lakers","• Trevor Ariza","• Brian Cook• Maurice Evans","trade with Magic"
"72","2007-11-20","Magic","• Brian Cook• Maurice Evans","• Trevor Ariza","trade with Lakers"
"73","2007-12-14","Bobcats","• Nazr Mohammed","• Primoz Brezec• Walter Herrmann","trade with Pistons"
"74","2007-12-14","Pistons","• Primoz Brezec• Walter Herrmann","• Nazr Mohammed","trade with Bobcats"
"75","2007-12-29","76ers","• Gordan Giricek• 2009 first round pick (less favorable of Jazz, Knicks picks) (protected top 22 in 2009, top 15 in 2010, top 17 in 2011, top 16 in 2012, top 16 in 2013, else 2014 second round pick, $1.15M cash) (2010 #23-Trevor Booker)","• Kyle Korver","trade with Jazz"
"76","2007-12-29","Jazz","• Kyle Korver","• Gordan Giricek• 2009 first round pick (less favorable of Jazz, Knicks picks) (protected top 22 in 2009, top 15 in 2010, top 17 in 2011, top 16 in 2012, top 16 in 2013, else 2014 second round pick, $1.15M cash) (2010 #23-Trevor Booker)","trade with 76ers"
"77","2008-02-01","Grizzlies","• Kwame Brown• Javaris Crittenton• Aaron McKie• rights to Marc Gasol• first round pick (protected top 3 2008-11, unprotected in 2012) (2008 #28-Donte Greene)• 2010 first round pick (protected top 6) (#28-Greivis Vasquez)• cash","• Pau Gasol• 2010 second round pick (#43-Devin Ebanks)","trade with Lakers"
"78","2008-02-01","Lakers","• Pau Gasol• 2010 second round pick (#43-Devin Ebanks)","• Kwame Brown• Javaris Crittenton• Aaron McKie• rights to Marc Gasol• first round pick (protected top 3 2008-11, unprotected in 2012) (2008 #28-Donte Greene)• 2010 first round pick (protected top 6) (#28-Greivis Vasquez)• cash","trade with Grizzlies"
"79","2008-02-04","Grizzlies","• Jason Collins• cash","• Stromile Swift","trade with Nets"
"80","2008-02-04","Nets","• Stromile Swift","• Jason Collins• cash","trade with Grizzlies"
"81","2008-02-06","Heat","• Shawn Marion• Marcus Banks","• Shaquille O'Neal","trade with Suns"
"82","2008-02-06","Suns","• Shaquille O'Neal","• Shawn Marion• Marcus Banks","trade with Heat"
"83","2008-02-16","Hawks","• Mike Bibby","• Anthony Johnson• Tyronn Lue• Shelden Williams• Lorenzen Wright• 2008 second round pick (#42-Sean Singletary)","trade with Kings"
"84","2008-02-16","Kings","• Anthony Johnson• Tyronn Lue• Shelden Williams• Lorenzen Wright• 2008 second round pick (#42-Sean Singletary)","• Mike Bibby","trade with Hawks"
"85","2008-02-19","Mavericks","• Jason Kidd• Malik Allen• Antoine Wright","• Devin Harris• DeSagana Diop• Trenton Hassell• Maurice Ager• Keith Van Horn• 2008 first round pick (lottery protected) (#21-Ryan Anderson)• 2010 first round pick (#27-Jordan Crawford)• $3M cash considerations","trade with Nets"
"86","2008-02-19","Nets","• Devin Harris• DeSagana Diop• Trenton Hassell• Maurice Ager• Keith Van Horn• 2008 first round pick (lottery protected) (#21-Ryan Anderson)• 2010 first round pick (#27-Jordan Crawford)• $3M cash considerations","• Jason Kidd• Malik Allen• Antoine Wright","trade with Mavericks"
"87","2008-02-20","Sonics","• Brent Barry• Francisco Elson• 2009 protected first round pick (top 15 in 2009, top 10 in 2009, top 5 in 2011, top 3 in 2012, unprotected in 2013) (2009 #25-Rodrigue Beaubois)","• Kurt Thomas","trade with Spurs"
"88","2008-02-20","Spurs","• Kurt Thomas","• Brent Barry• Francisco Elson• 2009 protected first round pick (top 15 in 2009, top 10 in 2009, top 5 in 2011, top 3 in 2012, unprotected in 2013) (2009 #25-Rodrigue Beaubois)","trade with Sonics"
"89","2008-02-21","Blazers","• Von Wafer","• Taurean Green","trade with Nuggets"
"90","2008-02-21","Bulls","• Larry Hughes• Drew Gooden• Shannon Brown• Cedric Simmons","• Ben Wallace• Joe Smith• Delonte West• 2009 second round pick (#46-Danny Green)","3-team trade with Cavaliers, Sonics"
"91","2008-02-21","Cavaliers","• Ben Wallace• Joe Smith• Wally Szczerbiak• Delonte West• 2009 second round pick (from Bulls) (#46-Danny Green)","• Larry Hughes• Drew Gooden• Cedric Simmons• Ira Newble• Donyell Marshall","3-team trade with Bulls, Sonics"
"92","2008-02-21","Grizzlies","• Marcus Vinicius Viera de Souza• rights to Malick Badiane• cash considerations","• rights to Sergei Lishouk / Sergei Lishchuk","3-team trade with Hornets, Rockets"
"93","2008-02-21","Hornets","• Bonzi Wells• Mike James (Lamont)• cash considerations","• Bobby Jackson• Adam Haluska• Marcus Vinicius Viera de Souza• 2008 second round pick (more favorable of Hornets and Rockets) (#54-Maarty Leunen)","3-team trade with Grizzlies, Rockets"
"94","2008-02-21","Nuggets","• Taurean Green","• Von Wafer","trade with Blazers"
"95","2008-02-21","Pistons","• Juan Dixon","• Primoz Brezec• cash","trade with Raptors"
"96","2008-02-21","Raptors","• Primoz Brezec• cash","• Juan Dixon","trade with Pistons"
"97","2008-02-21","Rockets","• Bobby Jackson• Adam Haluska• rights to Sergei Lishouk / Sergei Lishchuk• 2008 second round pick (more favorable of Hornets and Rockets) (#54-Maarty Leunen)","• Bonzi Wells• Mike James (Lamont)• rights to Malick Badiane• cash considerations","3-team trade with Grizzlies, Hornets"
"98","2008-02-21","Rockets","• Gerald Green (b)","• Kirk Snyder• 2010 second round pick (#45-Paulo Prestes)• cash","trade with Timberwolves"
"99","2008-02-21","Sonics","• Ira Newble• Donyell Marshall• Adrian Griffin","• Wally Szczerbiak• Delonte West","3-team trade with Bulls, Cavaliers"
"100","2008-02-21","Timberwolves","• Kirk Snyder• 2010 second round pick (#45-Paulo Prestes)• cash","• Gerald Green (b)","trade with Rockets"
"101","2008-06-25","Bobcats","• 2008 first round pick (#20-Alexis Ajinca / Alex Ajinca)","• first round pick (protected lottery in 2009, top 12 in 2010, top 10 in 2011, top 8 in 2012, top 3 in 2013, unprotected in 2014) (2010 #16-Luke Babbitt)","trade with Nuggets"
"102","2008-06-25","Nuggets","• first round pick (protected lottery in 2009, top 12 in 2010, top 10 in 2011, top 8 in 2012, top 3 in 2013, unprotected in 2014) (2010 #16-Luke Babbitt)","• 2008 first round pick (#20-Alexis Ajinca / Alex Ajinca)","trade with Bobcats"
"103","2008-06-26","Bucks","• Richard Jefferson","• Yi Jianlian / Jianlian Yi• Bobby Simmons","trade with Nets"
"104","2008-06-26","Grizzlies","• Marko Jaric• Antoine Walker• Greg Buckner• rights to O.J. Mayo","• Mike Miller• Brian Cardinal• Jason Collins• rights to Kevin Love","trade with Timberwolves"
"105","2008-06-26","Nets","• Yi Jianlian / Jianlian Yi• Bobby Simmons","• Richard Jefferson","trade with Bucks"
"106","2008-06-26","Pistons","• rights to Walter Sharpe• rights to Trent Plaisted","• rights to D.J. White","trade with Sonics"
"107","2008-06-26","Rockets","• rights to Donte Greene• rights to Joey Dorsey• 2009 second round pick (from Grizzlies) (#36-Sam Young)","• rights to Nicolas Batum","3-team trade with Blazers, Grizzlies"
"108","2008-06-26","Sonics","• rights to D.J. White","• rights to Walter Sharpe• rights to Trent Plaisted","trade with Pistons"
"109","2008-06-26","Timberwolves","• Mike Miller• Brian Cardinal• Jason Collins• rights to Kevin Love","• Marko Jaric• Antoine Walker• Greg Buckner• rights to O.J. Mayo","trade with Grizzlies"
"110","2008-06-26","Blazers","• rights to Darrell Arthur","• cash","trade with Hornets"
"111","2008-06-26","Cavaliers","• rights to Darnell Jackson","• 2009 second round pick (less favorable of Bulls and Cavaliers picks) (#60-Robert Dozier)","trade with Heat"
"112","2008-06-26","Celtics","• rights to Bill Walker","• cash","trade with Wizards"
"113","2008-06-26","Heat","• 2009 second round pick (less favorable of Bulls and Cavaliers picks) (#60-Robert Dozier)","• rights to Darnell Jackson","trade with Cavaliers"
"114","2008-06-26","Hornets","• cash","• rights to Darrell Arthur","trade with Blazers"
"115","2008-06-26","Spurs","• rights to Malik Hairston• 2009 second round pick (#37-DeJuan Blair)• cash","• rights to Goran Dragic","trade with Suns"
"116","2008-06-26","Suns","• rights to Goran Dragic","• rights to Malik Hairston• 2009 second round pick (#37-DeJuan Blair)• cash","trade with Spurs"
"117","2008-06-26","Wizards","• cash","• rights to Bill Walker","trade with Celtics"
"118","2008-06-26","Blazers","• rights to Nicolas Batum","• rights to Darrell Arthur• rights to Joey Dorsey","3-team trade with Grizzlies, Rockets"
"119","2008-06-26","Grizzlies","• rights to Darrell Arthur","• Donte Greene• 2009 second round pick (#36-Sam Young)","3-team trade with Blazers, Rockets"
"120","2008-06-26","Cavaliers","• rights to Sasha Kaun","• cash","trade with Sonics"
"121","2008-06-26","Sonics","• cash","• rights to Sasha Kaun","trade with Cavaliers"
"122","2008-06-26","Blazers","• 2009 second round pick (#33-Dante Cunningham)","• rights to Mike Taylor","trade with Clippers"
"123","2008-06-26","Blazers","• 2009 second round pick (from Nuggets) (#55-Patrick Mills / Patty Mills)• 2009 second round pick (from Bulls) (#38-Jon Brockman)• 2010 second round pick (from Bulls) (#44-Jerome Jordan)","• rights to Omer Asik","3-team trade with Bulls, Nuggets"
"124","2008-06-26","Bulls","• rights to Omer Asik","• 2009 second round pick (from Nuggets) (#55-Patrick Mills / Patty Mills)• 2009 second round pick (from Bulls) (#38-Jon Brockman)• 2010 second round pick (from Bulls) (#44-Jerome Jordan)","3-team trade with Blazers, Nuggets"
"125","2008-06-26","Clippers","• rights to Mike Taylor","• 2009 second round pick (#33-Dante Cunningham)","trade with Blazers"
"126","2008-06-26","Heat","• rights to Mario Chalmers","• 2009 second round pick (second least favorable of 76ers, Heat, Pacers) (#45-Nick Calathes)• 2009 second round pick (least favorable of 76ers, Heat, Pacers) (#47-Henk Norel)• $2M cash","trade with Timberwolves"
"127","2008-06-26","Nuggets","• rights to Sonny Weems","• 2009 second round pick (#55-Patrick Mills / Patty Mills)","3-team trade with Blazers, Bulls"
"128","2008-06-26","Timberwolves","• 2009 second round pick (second least favorable of 76ers, Heat, Pacers) (#45-Nick Calathes)• 2009 second round pick (least favorable of 76ers, Heat, Pacers) (#47-Henk Norel)• $2M cash","• rights to Mario Chalmers","trade with Heat"
"129","2008-07-09","76ers","• 2010 second round pick (protected top 55 in 2010, extinguished thereafter) (not exercised)","• Rodney Carney• Calvin Booth• first round pick (protected top 22 in 2009, top 17 in 2010, top 15 in 2011, top 16 in 2012, top 16 in 2013) (2010 #23-Trevor Booker)• cash considerations","trade with Timberwolves"
"130","2008-07-09","Blazers","• Ike Diogu• rights to Jerryd Bayless","• Jarrett Jack• Josh McRoberts• rights to Brandon Rush• cash considerations","trade with Pacers"
"131","2008-07-09","Pacers","• Jarrett Jack• Josh McRoberts• rights to Brandon Rush• cash considerations","• Ike Diogu• rights to Jerryd Bayless","trade with Blazers"
"132","2008-07-09","Pacers","• T.J. Ford• Radoslav Nesterovic / Rasho Nesterovic• Maceo Baston• rights to Roy Hibbert","• Jermaine O'Neal• rights to Nathan Jawai","trade with Raptors"
"133","2008-07-09","Raptors","• Jermaine O'Neal• rights to Nathan Jawai","• T.J. Ford• Radoslav Nesterovic / Rasho Nesterovic• Maceo Baston• rights to Roy Hibbert","trade with Pacers"
"134","2008-07-09","Timberwolves","• Rodney Carney• Calvin Booth• first round pick (protected top 22 in 2009, top 17 in 2010, top 15 in 2011, top 16 in 2012, top 16 in 2013) (2010 #23-Trevor Booker)• cash considerations","• 2010 second round pick (protected top 55 in 2010, extinguished thereafter) (not exercised)","trade with 76ers"
"135","2008-07-15","Clippers","• Marcus Camby• Nuggets option to swap 2010 second round picks with Clippers (#54-Willie Warren)","• Nuggets option to swap 2010 second round picks with Clippers (#38-Andy Rautins)","trade with Nuggets"
"136","2008-07-15","Nuggets","• Nuggets option to swap 2010 second round picks with Clippers (#38-Andy Rautins)","• Marcus Camby• Nuggets option to swap 2010 second round picks with Clippers (#54-Willie Warren)","trade with Clippers"
"137","2008-07-21","Magic","• cash considerations","• Keyon Dooling","trade with Nets"
"138","2008-07-21","Nets","• Keyon Dooling","• cash considerations","trade with Magic"
"139","2008-07-22","Nets","• 2011 first round pick (protected top 14 in 2011, top 11 in 2012, top 10 in 2013, else 2013 second round pick and 2015 second round pick) (?-?)","• Marcus Williams (D.)","trade with Warriors - NOTE: this trade was later restructured"
"140","2008-07-22","Warriors","• Marcus Williams (D.)","• 2011 first round pick (protected top 14 in 2011, top 11 in 2012, top 10 in 2013, else 2013 second round pick and 2015 second round pick) (?-?)","trade with Nets - NOTE: this trade was later restructured"
"141","2008-07-23","Clippers","• Jason Hart","• Brevin Knight","trade with Jazz"
"142","2008-07-23","Jazz","• Brevin Knight","• Jason Hart","trade with Clippers"
"143","2008-07-28","Knicks","• Taurean Green• Bobby Jones (R.)• 2010 second round pick (#38-Andy Rautins)","• Renaldo Balkman• cash considerations","trade with Nuggets"
"144","2008-07-28","Nuggets","• Renaldo Balkman• cash considerations","• Taurean Green• Bobby Jones (R.)• 2010 second round pick (#38-Andy Rautins)","trade with Knicks"
"145","2008-08-06","Clippers","• Steve Novak• Rockets option to swap 2011 second round picks (#47-Travis Leslie)","• Rockets option to swap 2011 second round picks (#38-Chandler Parsons)","trade with Rockets"
"146","2008-08-06","Rockets","• Rockets option to swap 2011 second round picks (#38-Chandler Parsons)","• Steve Novak• Rockets option to swap 2011 second round picks (#47-Travis Leslie)","trade wtih Clippers"
"147","2008-08-11","Bobcats","• 2009 second round pick (#40-Derrick Brown)","• rights to Kyle Weaver","trade with Sonics"
"148","2008-08-11","Sonics","• rights to Kyle Weaver","• 2009 second round pick (#40-Derrick Brown)","trade with Bobcats"
"149","2008-08-13","Bucks","• Luke Ridnour• Adrian Griffin• Damon Jones","• Maurice Williams / Mo Williams• Desmond Mason","3-team trade with Cavaliers, Sonics"
"150","2008-08-13","Cavaliers","• Maurice Williams / Mo Williams","• Damon Jones• Joe Smith","3-team trade with Bucks, Sonics"
"151","2008-08-13","Sonics","• Joe Smith• Desmond Mason","• Luke Ridnour• Adrian Griffin","3-team trade with Bucks, Cavaliers"
"152","2008-08-14","Kings","• Bobby Jackson• Donte Greene• first round pick (protected top 14 in 2009-10, top 10 in 2011-12, top 5 in 2013, top 3 in 2014, unprotected in 2015) (2009 #23-Omri Casspi)• $1M cash","• Ron Artest / Metta World Peace• Sean Singletary• Patrick Ewing Jr.","trade with Rockets"
"153","2008-08-14","Rockets","• Ron Artest / Metta World Peace• Sean Singletary• Patrick Ewing Jr.","• Bobby Jackson• Donte Greene• first round pick (protected top 14 in 2009-10, top 10 in 2011-12, top 5 in 2013, top 3 in 2014, unprotected in 2015) (2009 #23-Omri Casspi)• $1M cash","trade with Kings"
"154","2008-08-25","Rockets","• D.J. Strawberry","• Sean Singletary","trade with Suns"
"155","2008-08-25","Suns","• Sean Singletary","• D.J. Strawberry","trade with Rockets"
"156","2008-08-29","Knicks","• Patrick Ewing Jr.","• rights to Frederic Weis","trade with Rockets"
"157","2008-08-29","Rockets","• rights to Frederic Weis","• Patrick Ewing Jr.","trade with Knicks"
"158","2008-10-10","Mavericks","• Shawne Williams","• Eddie Jones• 2009 second round pick (#52-A.J. Price)• 2010 or 2011 second round pick (Mavericks option) (2010 #57-Ryan Reid)• ~$1.8M cash","trade with Pacers"
"159","2008-10-10","Pacers","• Eddie Jones• 2009 second round pick (#52-A.J. Price)• 2010 or 2011 second round pick (Mavericks option) (2010 #57-Ryan Reid)• ~$1.8M cash","• Shawne Williams","trade with Mavericks"
"160","2008-11-03","Nuggets","• Chauncey Billups• Antonio McDyess• Cheikh Samb","• Allen Iverson","trade with Pistons"
"161","2008-11-03","Pistons","• Allen Iverson","• Chauncey Billups• Antonio McDyess• Cheikh Samb","trade with Nuggets"
"162","2008-11-21","Clippers","• Zach Randolph• Mardy Collins","• Tim Thomas• Cuttino Mobley","trade with Knicks"
"163","2008-11-21","Knicks","• Al Harrington","• Jamal Crawford","trade with Warriors"
"164","2008-11-21","Knicks","• Tim Thomas• Cuttino Mobley","• Zach Randolph• Mardy Collins","trade with Clippers"
"165","2008-11-21","Warriors","• Jamal Crawford","• Al Harrington","trade with Knicks"
"166","2008-12-10","Bobcats","• Boris Diaw• Raja Bell• Sean Singletary","• Jason Richardson• Jared Dudley• 2010 second round pick (#46-Gani Lawal)","trade with Suns"
"167","2008-12-10","Grizzlies","• first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick) (2010 #12-Xavier Henry)","• Javaris Crittenton• 2015 conditional second round pick or $350K cash (Grizzlies option) (cash)","3-team trade with Hornets, Wizards"
"168","2008-12-10","Hornets","• Antonio Daniels• 2015 conditional second round pick (from Grizzlies) or $350K cash (Grizzlies option) (cash)","• Mike James (Lamont)","3-team trade with Grizzlies, Wizards"
"169","2008-12-10","Suns","• Jason Richardson• Jared Dudley• 2010 second round pick (#46-Gani Lawal)","• Boris Diaw• Raja Bell• Sean Singletary","trade with Bobcats"
"170","2008-12-10","Wizards","• Javaris Crittenton• Mike James (Lamont)","• Antonio Daniels• first round pick (protected top 19 in 2008, top 16 in 2009, top 14 in 2010-12, top 12 in 2013, else 2014 second round pick) (2010 #12-Xavier Henry)","3-team trade with Grizzlies, Hornets"
"171","2008-12-23","Grizzlies","• Steve Francis• 2009 second round pick (#36-Sam Young)• cash","• 2011 second round pick (protected top 55 in 2011) (not exercised)","trade with Rockets"
"172","2008-12-23","Rockets","• 2011 second round pick (protected top 55 in 2011) (not exercised)","• Steve Francis• 2009 second round pick (#36-Sam Young)• cash","trade with Grizzlies"
"173","2009-01-05","Clippers","• Cheikh Samb• cash (remainder of Samb's 2008-09 salary)","• 2015 second round pick (protected top 55, else extinguished) (#57-Nikola Radicevic)","trade with Nuggets"
