"","Date","Team","Acquired","Relinquished","Notes","page_url"
"1","2015-01-04","Jazz","","• Toure' Murry / Toure Murry","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"2","2015-01-05","Cavaliers","• J.R. Smith• Iman Shumpert• first round pick (from Thunder) (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","• Dion Waiters• Lou Amundson• Alex Kirk• 2019 second round pick (?-?)","3-team trade with Knicks, Thunder","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"3","2015-01-05","Jazz","• Elijah Millsap","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"4","2015-01-05","Knicks","","• Samuel Dalembert","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"5","2015-01-05","Knicks","• Lou Amundson• Alex Kirk• Lance Thomas• 2019 second round pick (from Cavaliers) (?-?)","• J.R. Smith• Iman Shumpert","3-team trade with Cavaliers, Thunder","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"6","2015-01-05","Thunder","• Dion Waiters","• Lance Thomas• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","3-team trade with Cavaliers, Knicks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"7","2015-01-06","Heat","","• Andre Dawkins","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"8","2015-01-06","Nets","","• Brandon Davies","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"9","2015-01-06","Jazz","","• Patrick Christopher","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"10","2015-01-07","Cavaliers","","• A.J. Price","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"11","2015-01-07","Cavaliers","• Timofey Mozgov• 2015 second round pick (less favorable of Blazers, Bulls picks) (#53-Sir'Dominic Pointer)","• first round pick (from Cavaliers, protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)• first round pick in first draft 2 years after Grizzlies send first round pick to Timberwolves via Rockets (protected #1-5, #15-30 in 2015-16, top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","trade with Nuggets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"12","2015-01-07","Jazz","• Elliot Williams","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"13","2015-01-07","Knicks","","• Alex Kirk","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"14","2015-01-07","Knicks","","• Lance Thomas","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"15","2015-01-07","Knicks","","• Louis Amundson / Lou Amundson","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"16","2015-01-07","Knicks","• Langston Galloway","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"17","2015-01-07","Nuggets","• first round pick (from Cavaliers, protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)• first round pick in first draft 2 years after Grizzlies send first round pick to Timberwolves via Rockets (protected #1-5, #15-30 in 2015-16, top 5 in 2017-18, unprotected in 2019) (2017 #20-Harry Giles)","• Timofey Mozgov• 2015 second round pick (less favorable of Blazers, Bulls picks) (#53-Sir'Dominic Pointer)","trade with Cavaliers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"18","2015-01-07","Timberwolves","","• Jeff Adrien","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"19","2015-01-07","Wizards","","• Glen Rice Jr.","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"20","2015-01-07","76ers","• Jared Cunningham• rights to Cenk Akyol• cash","• rights to Sergei Lishouk / Sergei Lishchuk","trade with Clippers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"21","2015-01-07","Clippers","• rights to Sergei Lishouk / Sergei Lishchuk","• Jared Cunningham• rights to Cenk Akyol• cash","trade with 76ers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"22","2015-01-07","76ers","","• Jared Cunningham","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"23","2015-01-08","Timberwolves","• Miroslav Raduljica","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"24","2015-01-09","Bucks","","• Nate Wolters","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search"
"25","2015-01-09","Bucks","• Kenyon Martin","","signed unrestricted free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"26","2015-01-09","Celtics","• draft pick(s) (first round pick (protected top 12 in 2015-16, else 2016 second round pick and 2017 second round pick)) (2016 #35-Rade Zagorac) (2017 #37-Semi Ojeleye)","• Brandan Wright","trade with Suns","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"27","2015-01-09","Suns","","• Tony Mitchell (b)","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"28","2015-01-09","Suns","• Brandan Wright","• draft pick(s) (first round pick (protected top 12 in 2015-16, else 2016 second round pick and 2017 second round pick)) (2016 #35-Rade Zagorac) (2017 #37-Semi Ojeleye)","trade with Celtics","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"29","2015-01-10","Knicks","• Lance Thomas","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"30","2015-01-10","Knicks","• Louis Amundson / Lou Amundson","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"31","2015-01-12","Celtics","• Tayshaun Prince• Austin Rivers• first round pick (from Grizzlies, at least 2 years after Grizzlies convey a first round pick to Cavaliers from prior trade) (protected top 10 in 2017, top 12 in 2018, top 8 in 2019, top 6 in 2020, unprotected in 2021) (?-?)","• Jeff Green","3-team trade with Grizzlies, Pelicans","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"32","2015-01-12","Grizzlies","• Jeff Green• Russ Smith• trade exception","• Tayshaun Prince• Quincy Pondexter• 2015 second round pick (#56-Branden Dawson)• first round pick (at least 2 years after Grizzlies convey a first round pick to Cavaliers from prior trade) (protected top 10 in 2017, top 12 in 2018, top 8 in 2019, top 6 in 2020, unprotected in 2021) (?-?)","3-team trade with Celtics, Pelicans","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"33","2015-01-12","Heat","• Tyler Johnson","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"34","2015-01-12","Pelicans","• Quincy Pondexter• 2015 second round pick (from Grizzlies) (#56-Branden Dawson)","• Austin Rivers• Russ Smith","3-team trade with Celtics, Grizzlies","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"35","2015-01-13","Celtics","• Nate Robinson","• Jameer Nelson","trade with Nuggets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"36","2015-01-13","Nuggets","• Jameer Nelson","• Nate Robinson","trade with Celtics","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"37","2015-01-13","Pelicans","• Nate Wolters","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"38","2015-01-14","Celtics","","• Nate Robinson","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"39","2015-01-14","Clippers","• Dahntay Jones","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"40","2015-01-15","76ers","• Larry Drew II","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"41","2015-01-15","Celtics","• Chris Douglas-Roberts• Shavlik Randolph• 2017 second round pick (from Clippers) (#56-Jabari Bird)","• Austin Rivers","3-team trade with Clippers, Suns","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"42","2015-01-15","Clippers","• Austin Rivers","• Chris Douglas-Roberts• Reggie Bullock• 2017 second round pick (#56-Jabari Bird)","3-team trade with Celtics, Suns","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"43","2015-01-15","Suns","• Reggie Bullock","• Shavlik Randolph","3-team trade with Celtics, Clippers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"44","2015-01-16","Clippers","","• Jordan Farmar","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"45","2015-01-17","Kings","• Quincy Miller","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"46","2015-01-17","Spurs","","• Austin Daye","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=25"
"47","2015-01-18","Celtics","","• Chris Douglas-Roberts","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"48","2015-01-18","Spurs","• JaMychal Green","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"49","2015-01-19","Warriors","• James Michael McAdoo / James McAdoo (Michael)","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"50","2015-01-22","Grizzlies","• Tyrus Thomas","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"51","2015-01-22","Heat","","• Tyler Johnson","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"52","2015-01-23","Celtics","• Andre Dawkins","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"53","2015-01-27","Jazz","","• Elliot Williams","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"54","2015-01-27","Kings","","• Quincy Miller","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"55","2015-01-27","Timberwolves","","• Miroslav Raduljica","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"56","2015-01-27","Timberwolves","• Lorenzo Brown","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"57","2015-01-28","Bucks","• Jorge Gutierrez","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"58","2015-01-28","Jazz","• Chris Johnson (b)","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"59","2015-01-28","Spurs","","• JaMychal Green","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"60","2015-01-28","Spurs","• Reggie Williams","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=50"
"61","2015-01-29","Warriors","","• James Michael McAdoo / James McAdoo (Michael)","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"62","2015-02-01","Grizzlies","","• Tyrus Thomas","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"63","2015-02-02","Grizzlies","• JaMychal Green","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"64","2015-02-02","Pistons","• John Lucas III","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"65","2015-02-03","Pelicans","","• Nate Wolters","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"66","2015-02-03","Hornets","","• Jannero Pargo","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"67","2015-02-04","Hornets","• Elliot Williams","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"68","2015-02-04","Pelicans","• Toney Douglas","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"69","2015-02-05","76ers","","• Larry Drew II","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"70","2015-02-05","76ers","• Tim Frazier","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"71","2015-02-07","Jazz","","• Chris Johnson (b)","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"72","2015-02-07","Spurs","","• Reggie Williams","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=75"
"73","2015-02-10","Hawks","• first round pick (protected top 14 and conditional in 2017 if Timberwolves convey 2015 first round pick to Celtics from previous trade, protected top 14 in 2018-20, else 2020 second round pick, 2021 second round pick) (2018 #19-Kevin Huerter)","• Adreian Payne","trade with Timberwolves","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"74","2015-02-10","Hornets","","• Elliot Williams","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"75","2015-02-10","Hornets","• Maurice Williams / Mo Williams• Troy Daniels• cash","• Gary Neal• 2019 second round pick (?-?)","trade with Timberwolves","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"76","2015-02-10","Kings","","• Quincy Miller","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"77","2015-02-10","Timberwolves","• Adreian Payne","• first round pick (protected top 14 and conditional in 2017 if Timberwolves convey 2015 first round pick to Celtics from previous trade, protected top 14 in 2018-20, else 2020 second round pick, 2021 second round pick) (2018 #19-Kevin Huerter)","trade with Hawks","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"78","2015-02-10","Timberwolves","• Gary Neal• 2019 second round pick (?-?)","• Maurice Williams / Mo Williams• Troy Daniels• cash","trade with Hornets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"79","2015-02-11","Mavericks","• Bernard James","","signed free agent to a 10-day contract","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"80","2015-02-14","Pelicans","","• Toney Douglas","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"81","2015-02-15","76ers","","• Tim Frazier","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"82","2015-02-15","Knicks","","• Amare Stoudemire / Amar'e Stoudemire","waived (reached contract buyout agreement)","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"83","2015-02-17","Mavericks","","• Ricky Ledo","waived","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"84","2015-02-18","Bucks","","• Jorge Gutierrez","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"85","2015-02-18","Mavericks","• Amare Stoudemire / Amar'e Stoudemire","","signed free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"86","2015-02-18","Spurs","","• Reggie Williams","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"87","2015-02-19","76ers","• Isaiah Canaan• 2015 second round pick (less favorable of Nuggets, Timberwolves) (#37-Richaun Holmes)","• K.J. McDaniels","trade with Rockets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"88","2015-02-19","76ers","• JaVale McGee• rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","• rights to Cenk Akyol","trade with Nuggets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"89","2015-02-19","Blazers","• Arron Afflalo• Alonzo Gee","• Will Barton• Victor Claver• Thomas Robinson• 2016 first round pick (protected top 14 in 2016-17, else 2018 second round pick (less favorable of Blazers, Kings picks) and 2019 second round pick) (#19-Malik Beasley)","trade with Nuggets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"90","2015-02-19","Celtics","","• Andre Dawkins","player became a free agent","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"91","2015-02-19","Celtics","• Isaiah Thomas","• Marcus Thornton (T.)• first round pick (protected top 10 in 2016-18, unprotected in 2019) (?-?)","trade with Suns","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=100"
"92","2015-02-19","Celtics","• Luigi Datome / Gigi Datome• Jonas Jerebko","• Tayshaun Prince","trade with Pistons","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=125"
"93","2015-02-19","Kings","• Andre Miller","• Ramon Sessions","trade with Wizards","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=125"
"94","2015-02-19","Knicks","• Alexey Shved• 2017 second round pick (#58-Ognjen Jaramaz)• 2019 second round pick (?-?)","• Pablo Prigioni","trade with Rockets","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=125"
"95","2015-02-19","Nets","• Thaddeus Young","• Kevin Garnett","trade with Timberwolves","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=125"
"96","2015-02-19","Nuggets","• rights to Cenk Akyol","• JaVale McGee• rights to rights to Chukwudiebere Maduabum / Chu Chu Maduabum• first round pick (protected top 18 in 2015, top 15 in 2016-17, else 2018 second round pick and 2019 second round pick) (2016 #26-Furkan Korkmaz)","trade with 76ers","http://prosportstransactions.com/basketball/Search/SearchResults.php?Player=&Team=&BeginDate=2015-01-01&EndDate=2019-02-01&PlayerMovementChkBx=yes&Submit=Search&start=125"
